#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
WP163	Cytoplasmic ribosomal proteins	76	1.21881	bottom	3.05e-29	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000003521,10090.ENSMUSP00000008036,10090.ENSMUSP00000008812,10090.ENSMUSP00000017548,10090.ENSMUSP00000023269,10090.ENSMUSP00000024575,10090.ENSMUSP00000025749,10090.ENSMUSP00000026420,10090.ENSMUSP00000029722,10090.ENSMUSP00000031617,10090.ENSMUSP00000032597,10090.ENSMUSP00000032998,10090.ENSMUSP00000033671,10090.ENSMUSP00000033683,10090.ENSMUSP00000034966,10090.ENSMUSP00000035105,10090.ENSMUSP00000038352,10090.ENSMUSP00000041652,10090.ENSMUSP00000046506,10090.ENSMUSP00000048469,10090.ENSMUSP00000054490,10090.ENSMUSP00000058368,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000060523,10090.ENSMUSP00000069004,10090.ENSMUSP00000071616,10090.ENSMUSP00000073880,10090.ENSMUSP00000079163,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080354,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000086614,10090.ENSMUSP00000092502,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000099757,10090.ENSMUSP00000099878,10090.ENSMUSP00000099909,10090.ENSMUSP00000099962,10090.ENSMUSP00000101514,10090.ENSMUSP00000102209,10090.ENSMUSP00000102870,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000106014,10090.ENSMUSP00000106249,10090.ENSMUSP00000109399,10090.ENSMUSP00000110532,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000115722,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000118787,10090.ENSMUSP00000119975,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000129072,10090.ENSMUSP00000134615,10090.ENSMUSP00000136358,10090.ENSMUSP00000145350,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944,10090.ENSMUSP00000155657,10090.ENSMUSP00000157556,10090.ENSMUSP00000157948	Rpl13,Rps11,Rplp1,Rps18,Rpl19,Rpl24,Rps6ka2,Rps6kb2,Rps26,Rps3a1,Rpl6,Rpl28,Rps3,Rps6ka3,Rps4x,Rpl4,Rpsa,Rps29,Rpl21,Rpl37,Rpl10a,Rps23,Rpl18a,Rps21,Rpl37a,Rps27rt,Rps15,Rpl7,Rps7,Rpl15,Rps25,Rpl36,Rps17,Rpl35,Rpl3,Rpl10,Rplp0,Rpl31,Rpl34,Rps2,Rpl23a,Rpl11,Rps8,Rps6,Rps27a,Rpl7a,Rps6ka1,Rpl38,Rpl27,Rps16,Rps19,Rps5,Rpl30,Rpl36al,Rpl9,Rps10,Rpl35a,Rpl39,Rpl13a,Rpl12,Rpl29,Rpl22,Rps15a,Rps20,Rpl27a,Rps13,Rpl26,Rps28,Fau,Rpl32,Rpl18,Rps12,Rps24,Rpl8,Rpl17,Rps14
WP295	Electron transport chain	92	0.721387	bottom	2.10e-18	ks	10090.ENSMUSP00000000090,10090.ENSMUSP00000000175,10090.ENSMUSP00000010007,10090.ENSMUSP00000013737,10090.ENSMUSP00000014438,10090.ENSMUSP00000015934,10090.ENSMUSP00000016396,10090.ENSMUSP00000016463,10090.ENSMUSP00000016571,10090.ENSMUSP00000020372,10090.ENSMUSP00000021993,10090.ENSMUSP00000022062,10090.ENSMUSP00000022097,10090.ENSMUSP00000022286,10090.ENSMUSP00000022980,10090.ENSMUSP00000023085,10090.ENSMUSP00000023514,10090.ENSMUSP00000023608,10090.ENSMUSP00000023677,10090.ENSMUSP00000023851,10090.ENSMUSP00000024705,10090.ENSMUSP00000026459,10090.ENSMUSP00000026495,10090.ENSMUSP00000026743,10090.ENSMUSP00000027111,10090.ENSMUSP00000027193,10090.ENSMUSP00000027478,10090.ENSMUSP00000032882,10090.ENSMUSP00000032958,10090.ENSMUSP00000033049,10090.ENSMUSP00000033157,10090.ENSMUSP00000033176,10090.ENSMUSP00000033582,10090.ENSMUSP00000034049,10090.ENSMUSP00000034146,10090.ENSMUSP00000034881,10090.ENSMUSP00000037341,10090.ENSMUSP00000038463,10090.ENSMUSP00000038961,10090.ENSMUSP00000039692,10090.ENSMUSP00000040717,10090.ENSMUSP00000041820,10090.ENSMUSP00000042967,10090.ENSMUSP00000043543,10090.ENSMUSP00000045284,10090.ENSMUSP00000047661,10090.ENSMUSP00000047960,10090.ENSMUSP00000049000,10090.ENSMUSP00000053145,10090.ENSMUSP00000054856,10090.ENSMUSP00000064282,10090.ENSMUSP00000065352,10090.ENSMUSP00000077744,10090.ENSMUSP00000080991,10090.ENSMUSP00000080992,10090.ENSMUSP00000080993,10090.ENSMUSP00000080994,10090.ENSMUSP00000080995,10090.ENSMUSP00000080996,10090.ENSMUSP00000080997,10090.ENSMUSP00000080998,10090.ENSMUSP00000081000,10090.ENSMUSP00000081001,10090.ENSMUSP00000081002,10090.ENSMUSP00000081003,10090.ENSMUSP00000081021,10090.ENSMUSP00000090673,10090.ENSMUSP00000092746,10090.ENSMUSP00000096193,10090.ENSMUSP00000101003,10090.ENSMUSP00000101006,10090.ENSMUSP00000101813,10090.ENSMUSP00000102147,10090.ENSMUSP00000106968,10090.ENSMUSP00000107627,10090.ENSMUSP00000110547,10090.ENSMUSP00000110586,10090.ENSMUSP00000112386,10090.ENSMUSP00000113022,10090.ENSMUSP00000114963,10090.ENSMUSP00000118918,10090.ENSMUSP00000120967,10090.ENSMUSP00000121557,10090.ENSMUSP00000123609,10090.ENSMUSP00000125504,10090.ENSMUSP00000131584,10090.ENSMUSP00000136313,10090.ENSMUSP00000138019,10090.ENSMUSP00000140414,10090.ENSMUSP00000144904,10090.ENSMUSP00000152430,10090.ENSMUSP00000158541	Cox5a,Sdhd,Sdhb,Ndufs2,Ndufa2,Surf1,Atp5e,Slc25a5,Ndufa1,Uqcr11,Uqcrb,Sdha,Ndufs6,Ndufs4,Ndufb9,Ndufa6,Ndufb4,Atp5j,Atp5o,Ndufa5,Slc25a27,Atp5b,Atp5a1,Uqcrc1,Ndufs1,Ndufb3,Ndufa10,Ndufc2,Ucp3,Cox6a2,Ndufab1,Uqcrc2,Cox7b,Slc25a4,Ucp1,Cox7a2,Ndufb7,Ndufc1,Gm11273,Ndufa7,Cox8a,Cox15,Ndufv1,Ndufb10,Uqcrfs1,Cox6a1,Atp5l,Ndufv3,Uqcrq,Uqcr10,Atpif1,Ndufa8,Uqcrh,mt-Nd1,mt-Nd2,mt-Co1,mt-Co2,mt-Atp8,mt-Atp6,mt-Co3,mt-Nd3,mt-Nd4,mt-Nd5,mt-Nd6,mt-Cytb,mt-Nd4l,Sco1,Ndufb6,Cox7a1,Ndufs7,Atp5d,Ndufs5,Atp5h,Sdhc,Atp5g3,Atp5c1,Slc25a14,Gm21987,Atp5pb,Ndufb5,Ndufb2,Ucp2,Ndufv2,Cox6c,Atp5j2,Cox7a2l,Ndufa12,Cox4i1,Atp5g2,Ndufa9,Dmac2l,Ndufs8
WP1248	Oxidative phosphorylation	54	0.703888	bottom	1.17e-11	ks	10090.ENSMUSP00000002452,10090.ENSMUSP00000013737,10090.ENSMUSP00000014438,10090.ENSMUSP00000015581,10090.ENSMUSP00000016396,10090.ENSMUSP00000019231,10090.ENSMUSP00000022097,10090.ENSMUSP00000022286,10090.ENSMUSP00000022980,10090.ENSMUSP00000023085,10090.ENSMUSP00000023608,10090.ENSMUSP00000023677,10090.ENSMUSP00000023851,10090.ENSMUSP00000026222,10090.ENSMUSP00000026459,10090.ENSMUSP00000026495,10090.ENSMUSP00000027111,10090.ENSMUSP00000027478,10090.ENSMUSP00000032882,10090.ENSMUSP00000033313,10090.ENSMUSP00000037341,10090.ENSMUSP00000038463,10090.ENSMUSP00000039692,10090.ENSMUSP00000042185,10090.ENSMUSP00000042967,10090.ENSMUSP00000043543,10090.ENSMUSP00000047960,10090.ENSMUSP00000049000,10090.ENSMUSP00000065352,10090.ENSMUSP00000080991,10090.ENSMUSP00000080992,10090.ENSMUSP00000080995,10090.ENSMUSP00000080996,10090.ENSMUSP00000080998,10090.ENSMUSP00000081000,10090.ENSMUSP00000081001,10090.ENSMUSP00000081002,10090.ENSMUSP00000081021,10090.ENSMUSP00000088029,10090.ENSMUSP00000092746,10090.ENSMUSP00000101003,10090.ENSMUSP00000101006,10090.ENSMUSP00000101813,10090.ENSMUSP00000102147,10090.ENSMUSP00000107627,10090.ENSMUSP00000113022,10090.ENSMUSP00000114963,10090.ENSMUSP00000118918,10090.ENSMUSP00000121557,10090.ENSMUSP00000125504,10090.ENSMUSP00000140414,10090.ENSMUSP00000144904,10090.ENSMUSP00000152430,10090.ENSMUSP00000158541	Ndufa11,Ndufs2,Ndufa2,Gzmb,Atp5e,Atp6ap1,Ndufs6,Ndufs4,Ndufb9,Ndufa6,Atp5j,Atp5o,Ndufa5,Ndufb8,Atp5b,Atp5a1,Ndufs1,Ndufa10,Ndufc2,Atp6ap2,Ndufb7,Ndufc1,Ndufa7,Ndufa4l2,Ndufv1,Ndufb10,Atp5l,Ndufv3,Ndufa8,mt-Nd1,mt-Nd2,mt-Atp8,mt-Atp6,mt-Nd3,mt-Nd4,mt-Nd5,mt-Nd6,mt-Nd4l,Atp5g1,Ndufb6,Ndufs7,Atp5d,Ndufs5,Atp5h,Atp5g3,Atp5pb,Ndufb5,Ndufb2,Ndufv2,Atp5j2,Atp5g2,Ndufa9,Dmac2l,Ndufs8
WP519	Proteasome degradation	51	0.507878	bottom	1.10e-05	ks	10090.ENSMUSP00000001989,10090.ENSMUSP00000005923,10090.ENSMUSP00000007212,10090.ENSMUSP00000014913,10090.ENSMUSP00000017365,10090.ENSMUSP00000017572,10090.ENSMUSP00000018430,10090.ENSMUSP00000019470,10090.ENSMUSP00000019649,10090.ENSMUSP00000020085,10090.ENSMUSP00000020657,10090.ENSMUSP00000021049,10090.ENSMUSP00000021063,10090.ENSMUSP00000021412,10090.ENSMUSP00000021595,10090.ENSMUSP00000022256,10090.ENSMUSP00000022380,10090.ENSMUSP00000022803,10090.ENSMUSP00000026560,10090.ENSMUSP00000028083,10090.ENSMUSP00000028225,10090.ENSMUSP00000029082,10090.ENSMUSP00000030642,10090.ENSMUSP00000030769,10090.ENSMUSP00000031131,10090.ENSMUSP00000032143,10090.ENSMUSP00000032824,10090.ENSMUSP00000034369,10090.ENSMUSP00000034740,10090.ENSMUSP00000034848,10090.ENSMUSP00000035216,10090.ENSMUSP00000036907,10090.ENSMUSP00000041968,10090.ENSMUSP00000045208,10090.ENSMUSP00000051432,10090.ENSMUSP00000051657,10090.ENSMUSP00000063800,10090.ENSMUSP00000071054,10090.ENSMUSP00000071589,10090.ENSMUSP00000077477,10090.ENSMUSP00000088057,10090.ENSMUSP00000098295,10090.ENSMUSP00000100564,10090.ENSMUSP00000112081,10090.ENSMUSP00000125548,10090.ENSMUSP00000129767,10090.ENSMUSP00000132446,10090.ENSMUSP00000133499,10090.ENSMUSP00000134163,10090.ENSMUSP00000134735,10090.ENSMUSP00000143608	Uba1,Psmb4,Psmd2,Psmb1,Psmd3,Psmd11,Psmb6,Psme3,Ubb,Ube2d1,Ube2b,Psmc5,Psmd12,Psma6,Psmc1,Psmd6,Psmc6,Psmb5,Psmd13,Psmb7,Psmd5,Psma7,Psmb2,Psmc2,Uchl1,Rpn1,Psmc4,Psmb10,Nedd4,Psma4,Uba7,H2az1,Psmd7,Uchl4,H2ax,Psmd8,Ifng,Psmc3,Psmd4,H2ac4,Psma5,Psmd9,Psme2b,Rpn2,Psma3,Psma2,Ube2d2a,Psmb9,H2-Q10,Psme1,Ube2d3
WP3625	Tyrobp causal network in microglia	58	0.802175	bottom	0.00013	ks	10090.ENSMUSP00000000299,10090.ENSMUSP00000000707,10090.ENSMUSP00000007757,10090.ENSMUSP00000014290,10090.ENSMUSP00000019064,10090.ENSMUSP00000021050,10090.ENSMUSP00000021668,10090.ENSMUSP00000023531,10090.ENSMUSP00000024044,10090.ENSMUSP00000024988,10090.ENSMUSP00000030336,10090.ENSMUSP00000032800,10090.ENSMUSP00000033053,10090.ENSMUSP00000033056,10090.ENSMUSP00000033063,10090.ENSMUSP00000033418,10090.ENSMUSP00000034594,10090.ENSMUSP00000035400,10090.ENSMUSP00000036747,10090.ENSMUSP00000039059,10090.ENSMUSP00000039429,10090.ENSMUSP00000040208,10090.ENSMUSP00000040505,10090.ENSMUSP00000042186,10090.ENSMUSP00000043537,10090.ENSMUSP00000046010,10090.ENSMUSP00000050353,10090.ENSMUSP00000050820,10090.ENSMUSP00000053775,10090.ENSMUSP00000062239,10090.ENSMUSP00000068468,10090.ENSMUSP00000073244,10090.ENSMUSP00000081010,10090.ENSMUSP00000081575,10090.ENSMUSP00000083490,10090.ENSMUSP00000084043,10090.ENSMUSP00000097971,10090.ENSMUSP00000098099,10090.ENSMUSP00000099945,10090.ENSMUSP00000101514,10090.ENSMUSP00000102980,10090.ENSMUSP00000104136,10090.ENSMUSP00000104732,10090.ENSMUSP00000109705,10090.ENSMUSP00000109877,10090.ENSMUSP00000110608,10090.ENSMUSP00000110817,10090.ENSMUSP00000120531,10090.ENSMUSP00000120881,10090.ENSMUSP00000136616,10090.ENSMUSP00000138523,10090.ENSMUSP00000140404,10090.ENSMUSP00000140624,10090.ENSMUSP00000141094,10090.ENSMUSP00000143743,10090.ENSMUSP00000144122,10090.ENSMUSP00000151002,10090.ENSMUSP00000154125	Itgb2,Loxl3,Tgfbr1,Apbb1ip,Cxcl16,Adap2,Npc2,Hcls1,Cd4,C3,Tnfrsf1b,Tyrobp,Itgax,Pycard,Cd37,Il13ra1,Il10ra,Nckap1l,C1qc,Igsf6,Dpyd,Creb3l2,Hlx,Abcc4,Sft2d2,Lyl1,Runx3,Zfp36l2,Gapt,Lhfpl2,Itgam,Cytl1,Gpx1,Fkbp15,Sh2b3,Spp1,Tmem106a,Gal3st4,Plek,Rps6ka1,Stat5a,Slc1a5,Maf,Capg,Samsn1,Elf4,Nrros,Tcirg1,Cd84,Kcne3,Bin2,Ncf2,Rgs1,Ppp1r18,Slc7a7,Rbm47,Il18,Rnase6
WP4466	Oxidative stress and redox pathway	88	0.357583	bottom	0.00025	ks	10090.ENSMUSP00000000828,10090.ENSMUSP00000001713,10090.ENSMUSP00000001715,10090.ENSMUSP00000004134,10090.ENSMUSP00000004136,10090.ENSMUSP00000004137,10090.ENSMUSP00000004140,10090.ENSMUSP00000004327,10090.ENSMUSP00000004453,10090.ENSMUSP00000005218,10090.ENSMUSP00000006508,10090.ENSMUSP00000007012,10090.ENSMUSP00000012348,10090.ENSMUSP00000015484,10090.ENSMUSP00000016094,10090.ENSMUSP00000017604,10090.ENSMUSP00000022282,10090.ENSMUSP00000023707,10090.ENSMUSP00000025904,10090.ENSMUSP00000025961,10090.ENSMUSP00000026050,10090.ENSMUSP00000026208,10090.ENSMUSP00000026328,10090.ENSMUSP00000026795,10090.ENSMUSP00000027067,10090.ENSMUSP00000027164,10090.ENSMUSP00000028005,10090.ENSMUSP00000029131,10090.ENSMUSP00000029297,10090.ENSMUSP00000029489,10090.ENSMUSP00000029769,10090.ENSMUSP00000030051,10090.ENSMUSP00000030269,10090.ENSMUSP00000030332,10090.ENSMUSP00000031897,10090.ENSMUSP00000031982,10090.ENSMUSP00000033992,10090.ENSMUSP00000034902,10090.ENSMUSP00000034903,10090.ENSMUSP00000034905,10090.ENSMUSP00000035065,10090.ENSMUSP00000035148,10090.ENSMUSP00000037022,10090.ENSMUSP00000038931,10090.ENSMUSP00000040222,10090.ENSMUSP00000052592,10090.ENSMUSP00000058699,10090.ENSMUSP00000059977,10090.ENSMUSP00000064385,10090.ENSMUSP00000071636,10090.ENSMUSP00000072074,10090.ENSMUSP00000075773,10090.ENSMUSP00000078158,10090.ENSMUSP00000078630,10090.ENSMUSP00000079100,10090.ENSMUSP00000081010,10090.ENSMUSP00000081011,10090.ENSMUSP00000081012,10090.ENSMUSP00000081141,10090.ENSMUSP00000094084,10090.ENSMUSP00000094863,10090.ENSMUSP00000095198,10090.ENSMUSP00000095316,10090.ENSMUSP00000096705,10090.ENSMUSP00000098058,10090.ENSMUSP00000098768,10090.ENSMUSP00000099733,10090.ENSMUSP00000102296,10090.ENSMUSP00000103007,10090.ENSMUSP00000103015,10090.ENSMUSP00000104136,10090.ENSMUSP00000105356,10090.ENSMUSP00000110158,10090.ENSMUSP00000110860,10090.ENSMUSP00000111405,10090.ENSMUSP00000112843,10090.ENSMUSP00000112923,10090.ENSMUSP00000114159,10090.ENSMUSP00000120154,10090.ENSMUSP00000129100,10090.ENSMUSP00000129565,10090.ENSMUSP00000131029,10090.ENSMUSP00000133276,10090.ENSMUSP00000140404,10090.ENSMUSP00000146030,10090.ENSMUSP00000151239,10090.ENSMUSP00000152046,10090.ENSMUSP00000158269	Txnrd3,Gstt1,Gstt3,Gstm5,Gstm3,Gstm7,Gstm1,G6pdx,Gpx6,Cd44,Ggt1,Sod2,Gstm2,Cybb,Ncf1,Cyba,Gpx8,Sod1,Prdx5,Prdx3,Gsto1,Abcc2,Prdx4,Alox5,Gsta3,Ctla4,Mgst3,Ggt7,Slc7a11,Gstm4,Gclm,Txn1,Slc6a9,Gpx7,Gstk1,Hpgds,Gsr,Gsta2,Gsta4,Gclc,Ptgs2,Slco2a1,Slco1a1,Gstp2,Lap3,Gsto2,Slc6a5,Ptgs1,S100a8,Prdx6,Ggt5,Ggt6,Abcc5,Gss,Slc1a2,Gpx1,Gpx3,Gpx2,Pgd,Ncf4,Gpx4,Grxcr2,Idh1,Mgst2,Rac1,Sod3,Nfe2l2,Gstm6,Idh2,Anpep,Slc1a5,Prdx2,Gls,Nrf1,Foxp3,S100a9,Mgst1,Prdx1,Ggct,Oplah,Gstp1,Keap1,Prdx6b,Ncf2,Txnrd2,Gstt2,Txnrd1,Cbs
WP2271	Macrophage markers	10	2.21589	bottom	0.0014	afc	10090.ENSMUSP00000000696,10090.ENSMUSP00000015540,10090.ENSMUSP00000018918,10090.ENSMUSP00000029771,10090.ENSMUSP00000036384,10090.ENSMUSP00000056669,10090.ENSMUSP00000087047,10090.ENSMUSP00000089801,10090.ENSMUSP00000095171,10090.ENSMUSP00000108160	Cd52,Cd83,Cd68,F3,Rac2,Cd14,Cd86,Lyz2,Cd74,Cd163
WP1983	Splicing factor NOVA regulated synaptic proteins	40	0.673928	top	0.0016	ks	10090.ENSMUSP00000000058,10090.ENSMUSP00000020107,10090.ENSMUSP00000021428,10090.ENSMUSP00000025166,10090.ENSMUSP00000028335,10090.ENSMUSP00000029155,10090.ENSMUSP00000030637,10090.ENSMUSP00000030739,10090.ENSMUSP00000030922,10090.ENSMUSP00000035055,10090.ENSMUSP00000036962,10090.ENSMUSP00000052170,10090.ENSMUSP00000055122,10090.ENSMUSP00000062284,10090.ENSMUSP00000063656,10090.ENSMUSP00000063812,10090.ENSMUSP00000063933,10090.ENSMUSP00000071720,10090.ENSMUSP00000072397,10090.ENSMUSP00000072428,10090.ENSMUSP00000076115,10090.ENSMUSP00000079098,10090.ENSMUSP00000089462,10090.ENSMUSP00000097108,10090.ENSMUSP00000101461,10090.ENSMUSP00000102443,10090.ENSMUSP00000103378,10090.ENSMUSP00000105736,10090.ENSMUSP00000106018,10090.ENSMUSP00000106851,10090.ENSMUSP00000111098,10090.ENSMUSP00000122915,10090.ENSMUSP00000124119,10090.ENSMUSP00000125405,10090.ENSMUSP00000136977,10090.ENSMUSP00000137931,10090.ENSMUSP00000138326,10090.ENSMUSP00000140167,10090.ENSMUSP00000140275,10090.ENSMUSP00000151921	Cav2,Atp2b1,Snw1,Cdh2,Grin1,Epb41l1,Ncdn,Epb41,Prkcz,Map4,Clstn1,Terf2ip,Epb41l2,Grin2b,Neo1,Gabrg2,Chl1,Camk2g,Ntng1,Aplp2,Efna5,Epb41l3,Mapk4,Kcnj6,Rap1gap,Dab1,Gabbr2,Plcb4,Gphn,Cadm3,Cask,Kcnq2,Cadm1,Stxbp2,Mapk9,Agrn,Ank3,Clasp1,Kcnma1,Grik2
WP222	Cytokines and inflammatory response	19	1.37235	bottom	0.0048	afc	10090.ENSMUSP00000000889,10090.ENSMUSP00000002678,10090.ENSMUSP00000014743,10090.ENSMUSP00000020650,10090.ENSMUSP00000024044,10090.ENSMUSP00000025263,10090.ENSMUSP00000026845,10090.ENSMUSP00000028881,10090.ENSMUSP00000028882,10090.ENSMUSP00000031327,10090.ENSMUSP00000034148,10090.ENSMUSP00000037762,10090.ENSMUSP00000043369,10090.ENSMUSP00000063800,10090.ENSMUSP00000075463,10090.ENSMUSP00000092492,10090.ENSMUSP00000103446,10090.ENSMUSP00000141845,10090.ENSMUSP00000158533	Il4,Tgfb1,Csf1,Il13,Cd4,Tnf,Il6,Il1b,Il1a,Cxcl1,Il15,Csf3,Il5,Ifng,Pdgfa,Il11,Il12a,Il7,H2-Eb1
WP3626	Microglia pathogen phagocytosis pathway	40	0.736918	bottom	0.0055	ks	10090.ENSMUSP00000000299,10090.ENSMUSP00000003370,10090.ENSMUSP00000004377,10090.ENSMUSP00000005889,10090.ENSMUSP00000015484,10090.ENSMUSP00000016094,10090.ENSMUSP00000017604,10090.ENSMUSP00000018156,10090.ENSMUSP00000029201,10090.ENSMUSP00000029748,10090.ENSMUSP00000030464,10090.ENSMUSP00000032667,10090.ENSMUSP00000032800,10090.ENSMUSP00000032997,10090.ENSMUSP00000034296,10090.ENSMUSP00000035037,10090.ENSMUSP00000035400,10090.ENSMUSP00000036270,10090.ENSMUSP00000036384,10090.ENSMUSP00000036747,10090.ENSMUSP00000038838,10090.ENSMUSP00000040246,10090.ENSMUSP00000044478,10090.ENSMUSP00000048836,10090.ENSMUSP00000052522,10090.ENSMUSP00000056774,10090.ENSMUSP00000062782,10090.ENSMUSP00000062864,10090.ENSMUSP00000068468,10090.ENSMUSP00000078875,10090.ENSMUSP00000079991,10090.ENSMUSP00000082822,10090.ENSMUSP00000094084,10090.ENSMUSP00000098058,10090.ENSMUSP00000101315,10090.ENSMUSP00000108863,10090.ENSMUSP00000111479,10090.ENSMUSP00000113852,10090.ENSMUSP00000126092,10090.ENSMUSP00000140404	Itgb2,Hck,Ptpn6,Vav1,Cybb,Ncf1,Cyba,Rac3,Pik3ca,Fcgr1,Pik3r3,Siglece,Tyrobp,Lat,Pik3r2,Pik3cb,Nckap1l,Vav3,Rac2,C1qc,Lyn,C1qb,Trem3,C1qa,Pik3r6,Pik3r1,Vav2,Pik3cg,Itgam,Fcer1g,Plcg2,Arpc1b,Ncf4,Rac1,Pik3cd,Trem2,Pik3c3,Syk,Pik3c2a,Ncf2
