gene_id,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,SHEF6,SHEF7,SHEF8,SHEF9,SHEF11,SHEF12,SHEF13,SHEF14,SHEF21,SHEF22,SHEF24,SHEF25,SHEF26,SHEF27,SHEF28,SHEF29,SHEF16,SHEF18,SHEF20,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family
ENSMUSG00000066553,0.35047136,0.379287058,0.714086387,0.260535536,0.608019836,0.252056424,0.688945444,0.362441357,0.359803963,0.376403981,0.755235054,63.24447544,0.745095587,68.99431719,1.098285174,2.182274795,56.91443906,0.127082695,0.776968509,0.355832824,0.138800758,0.955858106,1.228439786,61.88700749,Gm6969,12,24638669,24639010,-,342,processed_pseudogene,predicted pseudogene 6969 [Source:MGI Symbol;Acc:MGI:3645320],-
ENSMUSG00000037060,4.615593939,8.143032981,6.083397317,4.61063248,5.1798022,6.379666381,5.670742282,7.15985237,5.503571807,5.344392981,7.273158956,4.995351851,6.414008764,10.38600763,10.70679359,12.15269048,9.564502304,5.753129938,5.19615221,4.857053814,5.483882654,9.834641164,9.942823106,5.620418182,Cavin3,7,105480083,105482300,-,1662,protein_coding,caveolae associated 3 [Source:MGI Symbol;Acc:MGI:1923422],-
ENSMUSG00000091655,0.312138555,0.337802536,0.635983189,23.90006455,0.108303533,23.23448238,21.59843967,0.645598667,20.61564268,0.446979727,0.134526244,20.36879365,18.5808212,0.618604669,0.489080116,1.214742806,0.211205926,16.97745376,20.18297102,0.845102956,0.4944777,24.56640677,0.607821769,0.307922436,Gm8741,17,35335909,35336292,+,384,processed_pseudogene,predicted gene 8741 [Source:MGI Symbol;Acc:MGI:3644779],-
ENSMUSG00000036905,28.34952523,38.90690389,31.24547995,35.50203763,33.25555553,36.3670159,36.12252409,33.76101267,31.1402393,34.2333885,30.29214483,29.59934457,38.13752587,48.94254584,55.66882501,89.86238545,78.19588821,28.00281197,30.85450495,33.4437067,27.9234466,44.94064279,65.30151054,29.23451834,C1qb,4,136880129,136886187,-,1088,protein_coding,"complement component 1, q subcomponent, beta polypeptide [Source:MGI Symbol;Acc:MGI:88224]",-
ENSMUSG00000036896,21.001057,19.30180251,16.08724581,16.24252198,18.52209158,17.18708924,17.52197695,18.27335099,14.99661427,14.57741858,15.19512591,12.49108909,15.65974071,23.66010689,27.15952306,37.80485948,35.17546653,14.83254458,14.81591632,16.17555943,12.85693235,22.58843258,31.62007826,15.32882855,C1qc,4,136889804,136893065,-,1931,protein_coding,"complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]",-
ENSMUSG00000029283,2.082217126,4.682558514,3.841624295,4.931240732,3.410202004,4.7089298,5.215957698,4.820305423,4.647948108,4.790579756,4.186490161,5.651359078,4.568898353,3.142269185,2.761203927,1.884579228,2.918004515,3.917112162,4.647880227,3.394150052,3.472573971,2.411500632,2.37700015,5.323679314,Cdc7,5,106964322,106984432,+,4183,protein_coding,cell division cycle 7 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1309511],-
ENSMUSG00000020932,94.19154604,73.90972137,119.9896726,99.25347692,129.0546752,96.47289314,152.8229956,136.1995846,117.704518,111.3952321,104.2224375,91.48435096,89.98539543,240.9231998,169.8408971,283.316037,257.5282228,108.28476,99.92444995,109.5195729,89.40269362,122.2206676,240.8738013,104.4874706,Gfap,11,102887336,102900912,-,4218,protein_coding,glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697],-
ENSMUSG00000031980,176.3584486,13.60499268,7.180589885,13.68824221,13.81153552,7.772428413,7.550783772,6.729794254,9.262050399,10.0524346,6.365061928,9.520268329,7.434012926,13.23179357,17.25617417,11.24835136,12.95247427,8.549957041,8.29067719,8.280310722,8.007871545,9.705602827,14.41646522,8.170447461,Agt,8,124556534,124569706,-,1891,protein_coding,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8) [Source:MGI Symbol;Acc:MGI:87963]",-
ENSMUSG00000020629,11.18535106,18.43262705,13.02666223,15.47257831,12.59123326,14.28342009,15.31650652,16.91290507,13.6580516,16.3813567,12.57214086,12.44159612,16.07842004,23.34297829,26.78686092,33.01833255,20.18976353,15.2094941,14.51192613,16.36793255,14.95074039,20.94836673,18.01885379,16.21703061,Adi1,12,28675231,28682175,+,1886,protein_coding,acireductone dioxygenase 1 [Source:MGI Symbol;Acc:MGI:2144929],-
ENSMUSG00000095597,2.086677406,16.60473297,2.250852944,26.07396421,1.916523355,15.3603417,16.64898575,19.294574,17.64200076,19.8401324,1.904445261,16.9146515,14.41777129,40.19885085,56.47184975,63.77119836,17.75297739,19.09402849,18.57205371,15.39099946,15.89620478,23.17090664,3.370189643,27.72910121,Gm6472,X,152909505,152910155,-,651,transcribed_processed_pseudogene,predicted pseudogene 6472 [Source:MGI Symbol;Acc:MGI:3648396],-
ENSMUSG00000097767,58.96110215,76.09699146,49.04323485,79.05951257,59.44035418,61.1947864,83.96395269,73.17516665,62.98524596,71.81073459,59.87400786,93.83417934,67.33666068,42.91797048,46.57276329,37.75158686,50.89778729,67.24891289,71.17501415,61.12896227,53.9571853,45.1476656,48.83064673,84.51143817,Miat,5,112213228,112229395,-,9293,lincRNA,myocardial infarction associated transcript (non-protein coding) [Source:MGI Symbol;Acc:MGI:2444886],-
ENSMUSG00000029810,6.335978226,9.865942655,7.189533785,9.940018575,11.26100947,7.907725469,8.268042699,8.78297369,9.826244708,8.95844649,6.492664343,8.680262425,7.82774609,14.31009231,14.55482624,18.53253841,11.39068924,7.955558931,7.602232151,7.373888638,8.789231632,11.12854503,13.70298417,7.364164408,Tmem176b,6,48833818,48841496,-,2371,protein_coding,transmembrane protein 176B [Source:MGI Symbol;Acc:MGI:1916348],-
ENSMUSG00000022817,11.66113798,19.09416239,16.31782861,16.03756446,16.64478687,14.71497315,14.92101095,17.96701273,15.56200241,14.96356787,13.37614171,13.82339142,14.51143384,21.88464183,22.35920672,26.41486095,22.22174054,16.80753587,13.28740797,13.84893738,16.68726546,20.29427692,23.08415726,15.00907379,Itgb5,16,33829665,33949338,+,3553,protein_coding,integrin beta 5 [Source:MGI Symbol;Acc:MGI:96614],-
ENSMUSG00000055866,5.342174613,8.085109886,5.788489613,6.580791289,5.68149683,7.271931129,8.465558319,6.51243246,8.118076912,6.587455321,7.701076134,8.670588232,7.709372732,5.462651063,3.591932658,4.612039899,4.978920031,6.471842482,6.156042497,7.197229275,6.241767692,5.909335309,3.682802063,9.611218331,Per2,1,91415982,91459324,-,5856,protein_coding,period circadian clock 2 [Source:MGI Symbol;Acc:MGI:1195265],-
