gene_id,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,SHEF6,SHEF7,SHEF8,SHEF9,SHEF11,SHEF12,SHEF13,SHEF14,SHEF21,SHEF22,SHEF24,SHEF25,SHEF26,SHEF27,SHEF28,SHEF29,SHEF16,SHEF18,SHEF20,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family
ENSMUSG00000028393,8.093247236,10.05283016,7.622824477,9.405597419,9.869224595,7.993731705,8.487837327,10.00384638,8.681448476,9.586532595,8.172523251,9.645389414,11.50856086,19.82708967,15.05666205,16.753712,17.85914868,8.501974919,9.823190845,9.387824609,8.702384668,26.30802931,15.0196625,10.19583686,Alad,4,62509169,62519918,-,1871,protein_coding,"aminolevulinate, delta-, dehydratase [Source:MGI Symbol;Acc:MGI:96853]",-
ENSMUSG00000041959,7.713839933,11.38048941,8.946583312,11.13789416,12.93637452,8.286042982,8.709361809,8.659118761,9.712925789,9.382148725,6.819548213,12.43826992,10.442404,17.67208585,19.98933386,17.28061845,14.88897222,11.94136946,10.85255766,11.07837935,10.26163623,13.10079922,14.82844395,8.682802948,S100a10,3,93555080,93564643,+,1212,protein_coding,S100 calcium binding protein A10 (calpactin) [Source:MGI Symbol;Acc:MGI:1339468],-
ENSMUSG00000064246,4.018171641,4.240602453,4.215452622,3.145938721,3.604143831,2.951325431,3.193129454,3.536517665,2.911024501,3.504423081,3.850405935,2.571280385,3.362496277,5.492432892,6.178735393,6.687497056,4.946014956,4.169527017,3.364184972,4.13750834,3.538231304,4.779972313,7.424963443,4.174742984,Chil1,1,134182176,134190181,+,2804,protein_coding,chitinase-like 1 [Source:MGI Symbol;Acc:MGI:1340899],-
ENSMUSG00000038422,0.292487079,2.468975492,2.753257822,3.718067157,2.74009525,2.303382386,2.345844106,3.206252826,2.492287772,3.0470536,2.836278059,3.358784201,3.171292638,8.231155532,5.258864384,4.712419529,6.085699308,2.958998676,3.080003275,2.910222772,2.641075623,7.897375246,5.604419287,4.010655916,Hdhd3,4,62499008,62503467,-,1366,protein_coding,haloacid dehalogenase-like hydrolase domain containing 3 [Source:MGI Symbol;Acc:MGI:1919998],-
ENSMUSG00000002985,722.2880322,828.0478681,721.001469,687.6737982,832.1407256,625.5182174,665.5750481,729.3513552,661.6158741,665.5473778,615.2820154,633.9012222,641.6255779,978.6754078,1289.414662,1535.874896,1066.953067,688.1189116,671.558085,662.7567753,755.4546118,1081.035664,1479.306956,651.8069864,Apoe,7,19696109,19699188,-,2138,protein_coding,apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057],-
ENSMUSG00000110710,2.796694224,5.20203401,4.010707108,7.721373706,4.723586713,5.794753009,7.19188097,6.340619725,5.300615271,5.364659257,5.215353631,7.955455164,5.809940199,3.044413486,2.385901184,2.456711548,4.285102769,5.236243251,5.574092097,5.467359661,4.409113628,2.616736527,2.482097417,6.234095154,C78859,8,94322158,94328100,+,5943,lincRNA,expressed sequence C78859 [Source:MGI Symbol;Acc:MGI:2142856],-
ENSMUSG00000109095,0.265915042,1.942505101,0.081270397,0.778355332,0.553591438,0.21514966,0.548863691,0.928115222,0.477743032,0.24989216,0.601674782,0.654352159,0.671329884,2.700862979,5.156092541,6.791240978,0.640997686,0.903957604,0.552668947,0.708705308,1.066294675,3.729823311,7.339978821,0.819760229,Gm44799,8,9658248,9659449,-,1202,TEC,predicted gene 44799 [Source:MGI Symbol;Acc:MGI:5753375],-
ENSMUSG00000028004,0.779469853,4.230569867,17.94634394,21.00495558,19.27604406,20.94564295,19.98898939,13.38601033,15.37404151,15.76624205,19.31642575,16.97215031,16.11943714,10.56766214,8.119047986,9.775968588,9.913130885,14.53025141,19.79374932,19.00544869,21.58103562,4.445036869,8.113585155,11.3943134,Npy2r,3,82538383,82548084,-,3383,protein_coding,neuropeptide Y receptor Y2 [Source:MGI Symbol;Acc:MGI:108418],-
ENSMUSG00000108701,1.591690368,1.323124946,0.817818567,1.517634539,1.152569703,3.58350888,4.189997533,2.695709909,2.605047168,2.972982942,2.803613917,3.658167748,2.623751724,1.41721901,1.084334669,1.508188758,1.849637118,2.76030657,3.52865721,3.138396198,2.850384157,1.26727674,1.024172662,2.799036277,Gm44616,7,55927177,55928908,-,1732,TEC,predicted gene 44616 [Source:MGI Symbol;Acc:MGI:5753192],-
ENSMUSG00000014776,2.566297842,4.642444932,4.859744588,4.951733801,4.452175476,4.044172307,4.0209598,4.475283458,3.693655039,4.512581224,3.415678942,4.457671065,4.613446071,6.432241995,6.741174803,7.857580668,5.656275585,5.049616473,4.071745547,4.687447632,4.035535891,6.822742495,6.158444041,5.547257588,Nol3,8,105276140,105281939,+,3176,protein_coding,nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:MGI Symbol;Acc:MGI:1925938],-
