gene_id,SHEF11,SHEF12,SHEF13,SHEF14,SHEF6,SHEF7,SHEF8,SHEF9,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF11_readcount,SHEF12_readcount,SHEF13_readcount,SHEF14_readcount,SHEF6_readcount,SHEF7_readcount,SHEF8_readcount,SHEF9_readcount,SHEF11_fpkm,SHEF12_fpkm,SHEF13_fpkm,SHEF14_fpkm,SHEF6_fpkm,SHEF7_fpkm,SHEF8_fpkm,SHEF9_fpkm,-log10(padj)
ENSMUSG00000101523,132.3212339,274.2603388,155.6328214,23.04468965,25.18846778,25.50468081,19.31364743,20.34559525,2.69504496,1.35E-07,0.00413267,Gm10031,1,156524012,156526664,+,2653,protein_coding,predicted pseudogene 10031 [Source:MGI Symbol;Acc:MGI:3704198],-,137,238,157,24,26,24,21,22,2.215860298,4.634233884,2.585865336,0.384203077,0.422405903,0.426299601,0.3270579,0.340138839,2.383769233
ENSMUSG00000027523,2393.372392,2363.478802,2973.875568,2591.56739,1855.227531,1834.211628,1732.710084,1981.845937,0.479541528,1.90E-06,0.029145813,Gnas,2,174284320,174346744,+,11186,protein_coding,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]",-,2478,2051,3000,2699,1915,1726,1884,2143,9.505731566,9.471725137,11.71898347,10.24742897,7.378835762,7.271213731,6.959029584,7.858110829,1.535423828
ENSMUSG00000055148,161.2966866,129.0636888,120.9376064,150.7506781,239.2904439,211.4763117,208.7713318,219.1775488,-0.64261833,1.38E-05,0.140833253,Klf2,8,72319033,72321656,+,1847,protein_coding,Kruppel-like factor 2 (lung) [Source:MGI Symbol;Acc:MGI:1342772],zf-C2H2,167,112,122,157,247,199,227,237,3.87979371,3.132487658,2.886266557,3.610103091,5.763999552,5.077233245,5.07810365,5.263228732,0.851294789
ENSMUSG00000025498,28.97545269,29.96121348,28.74746383,36.48742527,93.97236056,62.69900698,87.37126219,45.31518941,-1.219777981,3.87E-05,0.29707758,Irf7,7,141262706,141266481,-,3776,protein_coding,interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212],IRF,30,26,29,38,97,59,95,49,0.340916741,0.35569651,0.335590389,0.427403878,1.107219254,0.736310443,1.039523278,0.532273553,0.527130123
ENSMUSG00000060802,1467.123754,992.1771079,1064.647453,1249.214218,1866.852977,1841.650493,1622.346384,1580.482831,-0.533290475,9.19E-05,0.563903542,B2m,2,122147686,122153083,+,860,protein_coding,beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127],-,1519,861,1074,1301,1927,1733,1764,1709,75.79112989,51.71814524,54.56941928,64.24889937,96.5777635,94.96007427,84.75058973,81.51065915,0.248795178
ENSMUSG00000093894,0,0,0,0,13.56302111,2.125390067,1.839394993,17.57119589,-5.558088607,0.000131657,0.673444981,Ighv1-53,12,115158403,115158835,-,351,IG_V_gene,immunoglobulin heavy variable 1-53 [Source:MGI Symbol;Acc:MGI:3576502],-,0,0,0,0,14,2,2,19,0,0,0,0,1.71915407,0.26851207,0.235431993,2.220328728,0.17169788
ENSMUSG00000022893,444.2902746,386.0387121,386.6038239,406.162655,643.2747156,545.1625522,467.2063283,608.5182578,-0.47959747,0.000192872,0.805852456,Adamts1,16,85793827,85803113,-,5302,protein_coding,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 [Source:MGI Symbol;Acc:MGI:109249]",-,460,335,390,423,664,513,508,658,3.722863965,3.263948705,3.214166613,3.388343965,5.397867708,4.559514234,3.958827589,5.090459235,0.093744466
ENSMUSG00000024610,50.22411799,39.18004839,49.56459281,46.08937929,68.78389278,79.70212752,79.09398472,108.2015747,-0.857375785,0.000221904,0.805852456,Cd74,18,60803848,60812646,+,1410,protein_coding,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]",-,52,34,50,48,71,75,86,117,1.582498438,1.245655775,1.549510037,1.445802501,2.170366696,2.506588743,2.52012416,3.403592381,0.093744466
ENSMUSG00000046879,177.7161098,155.5678392,154.6415296,160.3526321,236.3840822,196.5985812,238.2016516,250.6207414,-0.508588007,0.000258279,0.805852456,Irgm1,11,48861968,48871683,-,5810,protein_coding,immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567],-,184,135,156,167,244,185,259,271,1.358941463,1.20031678,1.173253796,1.220751273,1.810120865,1.500501833,1.841900777,1.913215771,0.093744466
ENSMUSG00000023078,0.965848423,0,0,0,10.65665944,8.501560269,3.678789987,7.398398271,-4.61575257,0.000280964,0.805852456,Cxcl13,5,95956951,95961068,+,1150,protein_coding,chemokine (C-X-C motif) ligand 13 [Source:MGI Symbol;Acc:MGI:1888499],-,1,0,0,0,11,8,4,8,0.03731309,0,0,0,0.412276638,0.327818215,0.143715877,0.285340186,0.093744466
ENSMUSG00000076609,23.18036215,8.066480552,11.89550227,19.20390804,114.3168922,77.57673745,15.63485744,325.5295239,-3.093094,0.000288827,0.805852456,Igkc,6,70726435,70726966,+,532,IG_C_gene,immunoglobulin kappa constant [Source:MGI Symbol;Acc:MGI:96495],-,24,7,12,20,118,73,17,352,1.9357919,0.679711549,0.985628189,1.596633401,9.560140075,6.466245095,1.320322087,27.13949891,0.093744466
ENSMUSG00000029561,69.54108645,59.92242696,72.3643055,69.13406894,181.1632106,100.9560282,112.2030946,98.95357688,-0.86275649,0.000328547,0.840287591,Oasl2,5,114896936,114912234,+,6374,protein_coding,2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390],-,72,52,73,72,187,95,122,107,0.484707228,0.421433957,0.500442636,0.479741495,1.264513377,0.702348211,0.790843175,0.688561145,0.07557205
ENSMUSG00000064366,167.0917772,180.9196352,207.1799979,229.4867011,131.7550622,119.0218438,80.93337971,144.2687663,0.722352229,0.000363059,0.857126483,mt-Tl2,MT,11671,11741,+,71,Mt_tRNA,mitochondrially encoded tRNA leucine 2 [Source:MGI Symbol;Acc:MGI:102481],-,173,157,209,239,136,112,88,156,104.5554832,114.2298338,128.6267923,142.963904,82.56090412,74.33624305,51.21143233,90.1232912,0.066955086
ENSMUSG00000031097,2.897545269,1.152354365,2.973875568,0,12.59423389,6.376170202,70.81670725,2.774399352,-3.716843823,0.000415737,0.911384133,Tnni2,7,142441808,142444410,+,1497,protein_coding,"troponin I, skeletal, fast 2 [Source:MGI Symbol;Acc:MGI:105070]",-,3,1,3,0,13,6,77,3,0.085992092,0.034507734,0.087567501,0,0.374296213,0.18887322,2.125257337,0.082199703,0.040298536
ENSMUSG00000000386,0,0,4.956459281,1.920390804,23.25089333,11.68964537,12.87576495,8.323198055,-3.001630907,0.000463164,0.947664326,Mx1,16,97447035,97462907,-,3785,protein_coding,MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243],-,0,0,5,2,24,11,14,9,0,0,0.057722831,0.022441452,0.273299753,0.136951797,0.152828641,0.097532065,0.023345468
ENSMUSG00000074896,165.1600803,156.7201936,149.6850703,144.9895057,294.5113156,179.5954607,240.9607441,219.1775488,-0.600914446,0.000509485,0.977287398,Ifit3,19,34583531,34588731,+,1745,protein_coding,interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055],-,171,136,151,151,304,169,262,237,4.204939369,4.026073678,3.781159678,3.675093248,7.508825866,4.563858884,6.203666737,5.570878778,0.009977702
ENSMUSG00000031145,21.2486653,16.1329611,17.84325341,24.96508045,46.50178667,47.82127651,44.14547984,31.44319265,-1.074475323,0.000569805,0.999947016,Prickle3,X,7657260,7668186,+,4902,protein_coding,prickle planar cell polarity protein 3 [Source:MGI Symbol;Acc:MGI:1859635],-,22,14,18,26,48,45,48,34,0.192578781,0.14753429,0.1604511,0.225261457,0.422047965,0.432593651,0.404585701,0.284496157,2.30114E-05
ENSMUSG00000056144,15.45357477,42.63711149,32.71263125,18.24371264,63.93995667,66.94978712,69.89700975,44.39038963,-1.17982828,0.000624582,0.999947016,Trim34a,7,104244457,104262234,+,2592,protein_coding,tripartite motif-containing 34A [Source:MGI Symbol;Acc:MGI:2137359],-,16,37,33,19,66,63,76,48,0.264876875,0.737403115,0.556317145,0.311318874,1.097495679,1.1453718,1.211493796,0.759586144,2.30114E-05
ENSMUSG00000094006,0,0,0,0,0.968787222,2.125390067,2.75909249,27.74399352,-5.495909105,0.000673734,0.999947016,Igkv4-59,6,69438218,69438757,-,368,IG_V_gene,immunoglobulin kappa variable 4-59 [Source:MGI Symbol;Acc:MGI:3646808],-,0,0,0,0,1,2,3,30,0,0,0,0,0.117124045,0.25610798,0.336834087,3.343830307,2.30114E-05
ENSMUSG00000097716,5.795090538,5.761771823,3.965167425,9.601954019,0,0,0,0.924799784,4.422473678,0.000675143,0.999947016,1700026J14Rik,6,48536582,48537474,-,794,lincRNA,RIKEN cDNA 1700026J14 gene [Source:MGI Symbol;Acc:MGI:1916682],-,6,5,4,10,0,0,0,1,0.324257333,0.325302756,0.220131904,0.534892298,0,0,0,0.051659511,2.30114E-05
