gene_id,SHEF16,SHEF18,SHEF20,SHEF6,SHEF7,SHEF8,SHEF9,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF16_readcount,SHEF18_readcount,SHEF20_readcount,SHEF6_readcount,SHEF7_readcount,SHEF8_readcount,SHEF9_readcount,SHEF16_fpkm,SHEF18_fpkm,SHEF20_fpkm,SHEF6_fpkm,SHEF7_fpkm,SHEF8_fpkm,SHEF9_fpkm,-log10(padj)
ENSMUSG00000091383,98.95105778,79.46113235,62.32848983,0,0,0,0,8.790995304,7.03E-16,1,Hist1h2al,13,51202727,51203065,-,339,processed_pseudogene,"histone cluster 1, H2al [Source:MGI Symbol;Acc:MGI:3646032]",-,92,74,70,0,0,0,0,12.67388093,10.18988991,8.138598899,0,0,0,0,0
ENSMUSG00000062554,2.151109952,5.368995429,0,69.05918371,67.6491757,168.9681484,69.25081898,-5.291989685,9.06E-14,1.24E-09,Gm12751,4,34354043,34354423,+,381,processed_pseudogene,predicted gene 12751 [Source:MGI Symbol;Acc:MGI:3651049],-,2,5,0,70,63,179,74,0.245146961,0.612607767,0,7.91893804,7.792135713,19.41201663,7.96668302,8.907078437
ENSMUSG00000036777,655.0129803,643.2056524,794.2430418,1449.256298,1576.333173,1232.806714,1236.220701,-0.976776548,6.36E-09,4.35E-05,Anln,9,22332012,22389188,-,9063,protein_coding,"anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]",-,609,599,892,1469,1468,1306,1321,3.138100198,3.085263865,3.879217925,6.986243143,7.632995559,5.954068082,5.97862937,4.361263669
ENSMUSG00000083061,317.2887179,22.5497808,194.9991325,10.85215744,18.25453947,15.10329818,14.97315005,3.592272943,1.15E-08,5.25E-05,Gm12191,11,49678710,49679057,-,348,processed_pseudogene,predicted gene 12191 [Source:MGI Symbol;Acc:MGI:3651293],-,295,21,219,11,17,16,16,39.58806418,2.816939509,24.80368312,1.362408429,2.302028052,1.899692631,1.885869047,4.280151684
ENSMUSG00000021278,282.8709586,173.9554519,154.9308176,60.18014581,38.65667183,66.07692953,76.737394,1.750452786,3.28E-08,0.000105022,Amn,12,111271095,111276426,+,1843,protein_coding,amnionless [Source:MGI Symbol;Acc:MGI:1934943],-,263,162,174,61,36,70,82,6.664259609,4.103242172,3.721133204,1.426587388,0.920487933,1.569333712,1.824985049,3.978720213
ENSMUSG00000030792,306.5331681,42.95196343,107.7392467,14.79839651,4.295185759,20.76703499,17.78061568,3.395671876,3.84E-08,0.000105022,Dkkl1,7,45207519,45212147,-,1576,protein_coding,dickkopf-like 1 [Source:MGI Symbol;Acc:MGI:1354963],-,285,40,121,15,4,22,19,8.445203917,1.184789641,3.026080386,0.410231426,0.119603727,0.576778505,0.494502147,3.978720213
ENSMUSG00000038775,186.0710108,75.16593601,167.3965155,18.74463558,9.664167957,28.31868408,41.17616264,2.539089375,5.52E-08,0.000125937,Vill,9,119052778,119071525,+,4409,protein_coding,villin-like [Source:MGI Symbol;Acc:MGI:1201781],-,173,70,188,19,9,30,44,1.832430441,0.741131738,1.680618167,0.18574083,0.096192972,0.281140722,0.409339233,3.899847047
ENSMUSG00000029084,86.04439807,90.19912321,102.3968047,191.3925949,207.2427129,179.3516659,171.2554037,-1.008244457,5.73E-07,0.001120038,Cd38,5,43868553,43912375,+,3890,protein_coding,CD38 antigen [Source:MGI Symbol;Acc:MGI:107474],-,80,84,115,194,193,190,183,0.960421512,1.008015372,1.165197496,2.149542366,2.338022261,2.0181182,1.929622178,2.950767282
ENSMUSG00000035299,82.81773314,59.05894972,72.1229668,141.0780467,141.74113,186.903315,197.4584163,-1.226488244,8.84E-07,0.001511569,Mid1,X,169685199,170005736,+,6720,protein_coding,midline 1 [Source:MGI Symbol;Acc:MGI:1100537],-,77,55,81,143,132,198,211,0.535109851,0.382059398,0.47508033,0.917192817,0.925647414,1.21741463,1.287905435,2.820572108
ENSMUSG00000039629,224.79099,295.2947486,534.2441985,1392.035832,1506.536405,630.5626989,984.4846158,-1.681461589,1.64E-06,0.002494309,Strip2,6,29917012,29959681,+,8329,protein_coding,striatin interacting protein 2 [Source:MGI Symbol;Acc:MGI:2444363],-,209,275,600,1411,1403,668,1052,1.171857807,1.541264949,2.839289601,7.301768039,7.937902187,3.313799283,5.180762355,2.603049694
ENSMUSG00000027489,1025.003892,695.8218076,614.3808283,352.2018369,308.1795782,445.5472963,344.3824511,1.101214968,1.86E-06,0.002546053,Necab3,2,154544399,154558890,-,2548,protein_coding,N-terminal EF-hand calcium binding protein 3 [Source:MGI Symbol;Acc:MGI:1861721],-,953,648,690,357,287,472,368,17.46686528,11.8717038,10.6733554,6.038967231,5.30790825,7.65394213,5.924056456,2.594132555
ENSMUSG00000098931,20.43554454,24.69737897,9.794476973,0,0,0,0.935821878,5.934751777,2.07E-06,1,Mir8099-2,12,93927338,93927464,+,127,miRNA,microRNA 8099-2 [Source:MGI Symbol;Acc:MGI:5531074],-,19,23,11,0,0,0,1,6.986688385,8.453987189,3.413817243,0,0,0,0.322973636,0
ENSMUSG00000072663,31.1910943,33.28777166,64.10930382,158.8361225,102.0106618,104.7791311,174.0628693,-1.645613611,2.77E-06,0.003449392,Spef2,15,9578193,9748868,-,9916,protein_coding,sperm flagellar 2 [Source:MGI Symbol;Acc:MGI:2443727],-,29,31,72,161,95,111,186,0.1365787,0.14593607,0.286185273,0.699814986,0.45146909,0.462518448,0.769391209,2.46225743
ENSMUSG00000107927,105.4043876,113.8227031,26.71220993,18.74463558,3.221389319,1.887912272,11.22986254,3.219213018,3.09E-06,1,Gm44090,6,86039934,86041767,+,1834,TEC,"predicted gene, 44090 [Source:MGI Symbol;Acc:MGI:5690482]",-,98,106,30,19,3,2,12,2.495446353,2.698012791,0.644723094,0.446527438,0.077083754,0.04505814,0.268381582,0
ENSMUSG00000050936,20.43554454,17.18078537,27.60261692,0,0,1.887912272,0,5.473097854,4.49E-06,1,Gm42743,3,96269721,96279001,+,1511,lincRNA,predicted gene 42743 [Source:MGI Symbol;Acc:MGI:5662880],-,19,16,31,0,0,2,0,0.587233239,0.494302707,0.808627549,0,0,0.054690026,0,0
