gene_id,SHEF21,SHEF22,SHEF24,SHEF25,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF21_readcount,SHEF22_readcount,SHEF24_readcount,SHEF25_readcount,SHEF1_readcount,SHEF2_readcount,SHEF3_readcount,SHEF4_readcount,SHEF5_readcount,SHEF21_fpkm,SHEF22_fpkm,SHEF24_fpkm,SHEF25_fpkm,SHEF1_fpkm,SHEF2_fpkm,SHEF3_fpkm,SHEF4_fpkm,SHEF5_fpkm,-log10(padj)
ENSMUSG00000028393,846.2210616,644.3628231,711.5176036,752.8379147,342.6106921,425.8312026,325.3505482,397.1040339,417.8160749,0.95255163,1.23E-08,0.00022605,Alad,4,62509169,62519918,-,1871,protein_coding,"aminolevulinate, delta-, dehydratase [Source:MGI Symbol;Acc:MGI:96853]",-,937,600,672,824,379,435,292,395,444,19.82708967,15.05666205,16.753712,17.85914868,8.093247236,10.05283016,7.622824477,9.405597419,9.869224595,3.645794627
ENSMUSG00000021342,1825.20039,80.54535288,1387.035805,1523.034956,2.711957985,5.873533829,23.39849833,0,0,7.564789568,6.77E-08,0.000396986,Prl,13,27057570,27065205,+,1408,protein_coding,prolactin [Source:MGI Symbol;Acc:MGI:97762],-,2021,75,1310,1667,3,6,21,0,0,56.82727433,2.500977868,43.39944752,48.01094713,0.085128697,0.184255929,0.728489834,0,0,3.401224393
ENSMUSG00000066553,538.2580072,8.591504308,16.94089532,438.5463581,2.711957985,2.936766914,5.571071032,2.010653336,4.705135979,6.130261926,6.98E-08,0.000396986,Gm6969,12,24638669,24639010,-,342,processed_pseudogene,predicted pseudogene 6969 [Source:MGI Symbol;Acc:MGI:3645320],-,596,8,16,480,3,3,5,2,5,68.99431719,1.098285174,2.182274795,56.91443906,0.35047136,0.379287058,0.714086387,0.260535536,0.608019836,3.401224393
ENSMUSG00000020660,338.6690481,49.40114977,494.4623823,57.5592095,7.231887961,36.22012528,28.96956936,17.09055336,18.82054391,3.441871078,9.21E-08,0.000396986,Pomc,12,3954951,3960642,+,1318,protein_coding,pro-opiomelanocortin-alpha [Source:MGI Symbol;Acc:MGI:97742],-,375,46,467,63,8,37,26,17,20,11.26442492,1.638678144,16.52787541,1.938351201,0.24251129,1.213833697,0.963529007,0.574640973,0.631085839,3.401224393
ENSMUSG00000020932,23181.21901,16386.14659,27125.54983,24473.6277,8989.236735,7058.029817,11545.48761,9447.0547,12317.10496,1.207195091,1.08E-07,0.000396986,Gfap,11,102887336,102900912,-,4218,protein_coding,glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697],-,25668,15258,25619,26787,9944,7210,10362,9397,13089,240.9231998,169.8408971,283.316037,257.5282228,94.19154604,73.90972137,119.9896726,99.25347692,129.0546752,3.401224393
ENSMUSG00000086128,18.06234923,11.81331842,17.99970128,21.01367966,74.1268516,43.07258141,63.51020976,48.25568007,43.287251,-1.654261442,1.32E-06,0.00357408,St8sia3os,18,64157721,64277180,-,1715,antisense,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3, opposite strand [Source:MGI Symbol;Acc:MGI:1920838]",-,20,11,17,23,82,44,57,48,46,0.461699111,0.301147873,0.462381402,0.543839866,1.910324357,1.109331711,1.623370266,1.246924594,1.115494818,2.446835743
ENSMUSG00000069516,295.31941,496.1593738,1006.924466,941.0473934,169.9493671,166.4167918,230.6423407,196.0387003,279.4850771,1.715741709,1.36E-06,0.00357408,Lyz2,10,117277331,117282321,-,1316,protein_coding,lysozyme 2 [Source:MGI Symbol;Acc:MGI:96897],-,327,462,951,1030,188,170,207,195,297,9.837506463,16.48304052,33.70855903,31.73866563,5.707676434,5.585549537,7.682831566,6.60148742,9.385867302,2.446835743
ENSMUSG00000036905,1214.692986,1385.38007,2219.257287,1916.81304,697.8771882,958.3649364,775.4930876,871.6182213,818.6936603,1.030440079,3.44E-06,0.007897381,C1qb,4,136880129,136886187,-,1088,protein_coding,"complement component 1, q subcomponent, beta polypeptide [Source:MGI Symbol;Acc:MGI:88224]",-,1345,1290,2096,2098,772,979,696,867,870,48.94254584,55.66882501,89.86238545,78.19588821,28.34952523,38.90690389,31.24547995,35.50203763,33.25555553,2.1025169
ENSMUSG00000035896,47.86522547,33.29207919,32.82298469,58.47284775,4.519929975,12.72598996,14.48478468,16.08522669,10.35129915,1.904006822,6.33E-06,0.012923893,Rnase1,14,51144998,51146785,-,992,protein_coding,"ribonuclease, RNase A family, 1 (pancreatic) [Source:MGI Symbol;Acc:MGI:97919]",-,53,31,31,64,5,13,13,16,11,2.115228867,1.467240349,1.457691367,2.616228247,0.201379713,0.566636513,0.640086306,0.718573817,0.461163432,1.888606651
ENSMUSG00000048758,646.6321026,5006.699135,1115.981479,1670.130714,522.5039052,547.2175684,535.9370332,409.1679539,463.9264075,2.089354247,7.55E-06,0.013868366,Rpl29,9,106429454,106431568,+,1126,protein_coding,ribosomal protein L29 [Source:MGI Symbol;Acc:MGI:99687],-,716,4662,1054,1828,578,559,481,407,493,25.17490261,194.3950126,43.66342311,65.83322483,20.50911088,21.46576117,20.86476712,16.10345621,18.20884414,1.857974714
ENSMUSG00000005413,194.1702543,164.3125199,215.9964154,150.7503106,113.9022354,92.99761895,94.70820754,91.4847268,98.80785555,0.880201157,1.21E-05,0.020285079,Hmox1,8,75093621,75100589,+,1751,protein_coding,heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163],-,215,153,204,165,126,95,85,91,105,4.861222296,4.102574957,5.434499854,3.82124714,2.875026051,2.345904536,2.371044121,2.315358923,2.493888329,1.692823294
ENSMUSG00000058715,199.588959,269.5584477,281.6423848,239.3732205,106.6703474,149.7751126,152.6473463,99.52734015,132.6848346,0.948819359,1.44E-05,0.022071001,Fcer1g,1,171229572,171234365,-,874,protein_coding,"Fc receptor, IgE, high affinity I, gamma polypeptide [Source:MGI Symbol;Acc:MGI:95496]",-,221,251,266,262,118,153,137,99,141,10.0109204,13.48383808,14.19664636,12.15618182,5.394211367,7.569250425,7.656247962,5.046460054,6.709366714,1.656177973
ENSMUSG00000112640,7.224939694,9.665442346,5.294029789,15.53185018,34.35146781,22.51521301,33.42642619,36.19176005,46.11033259,-1.863762951,1.66E-05,0.022507516,Gm32687,10,81863934,81881081,+,2379,protein_coding,"predicted gene, 32687 [Source:MGI Symbol;Acc:MGI:5591846]",-,8,9,5,17,38,23,30,36,49,0.133133918,0.177623044,0.09803725,0.289775596,0.638184923,0.418028864,0.615933277,0.67417266,0.856594907,1.647672432
ENSMUSG00000024516,2156.644499,2060.887096,2316.667436,1840.981066,1518.696472,1399.858896,1430.651041,1417.510602,1325.907319,0.561589849,1.71E-05,0.022507516,Sec11c,18,65800549,65817665,+,3084,protein_coding,"SEC11 homolog C, signal peptidase complex subunit [Source:MGI Symbol;Acc:MGI:1913536]",-,2388,1919,2188,2015,1680,1430,1284,1410,1409,30.65583292,29.21540057,33.09394253,26.49524926,21.76468057,20.04908439,20.33562433,20.3689115,19.00073817,1.647672432
ENSMUSG00000097257,3.612469847,6.443628231,7.411641704,4.56819123,35.25545381,16.64167918,22.28428413,27.14382004,16.93848952,-2.120070629,2.88E-05,0.035268935,Gm26768,8,34094548,34096149,+,966,lincRNA,"predicted gene, 26768 [Source:MGI Symbol;Acc:MGI:5477262]",-,4,6,7,5,39,17,20,27,18,0.163936641,0.291625411,0.338015389,0.209894088,1.613038992,0.760929937,1.011252772,1.245230403,0.774942052,1.452607657
ENSMUSG00000022865,199.588959,180.4215905,148.2328341,371.8507661,790.9877457,494.3557639,350.977475,580.0734875,625.7830852,-1.336169842,3.47E-05,0.037707466,Cxadr,16,78301489,78359774,+,7400,protein_coding,coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679],-,221,168,140,407,875,505,315,577,665,1.182370869,1.065930286,0.882494233,2.230334581,4.724259211,2.950750804,2.079149365,3.473818881,3.737350037,1.423572648
ENSMUSG00000000682,37.93093339,46.17933565,150.350446,84.05471863,19.88769189,9.789223048,10.02792786,27.14382004,28.23081587,2.060990251,3.54E-05,0.037707466,Cd52,4,134082448,134095082,-,1187,protein_coding,CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088],-,42,43,142,92,22,10,9,27,30,1.400850336,1.700861601,5.580243952,3.143000405,0.740507305,0.364268952,0.370338315,1.013388854,1.051100846,1.423572648
ENSMUSG00000105828,62.31510486,42.95752154,75.175223,4.56819123,0.903985995,12.72598996,1.114214206,4.021306673,4.705135979,3.296400235,3.69E-05,0.037707466,Gm43048,5,49217301,49217688,-,388,TEC,predicted gene 43048 [Source:MGI Symbol;Acc:MGI:5663185],-,69,40,71,5,1,13,1,4,5,7.04061396,4.840380533,8.535759757,0.522571364,0.102973544,1.448720156,0.125885332,0.459294605,0.53593501,1.423572648
ENSMUSG00000036887,1545.233977,1714.005109,3307.709812,2319.727507,913.929841,1214.84258,1161.011203,1117.923255,1097.23771,1.012832446,4.09E-05,0.039561585,C1qa,4,136895917,136898803,-,1040,protein_coding,"complement component 1, q subcomponent, alpha polypeptide [Source:MGI Symbol;Acc:MGI:88223]",-,1711,1596,3124,2539,1011,1241,1042,1112,1166,65.13431311,72.0527876,140.1177794,99.00034091,38.8396405,51.5954397,48.93743872,47.63591656,46.62717041,1.402726315
ENSMUSG00000019817,119.2115049,93.43260934,95.2925362,279.5733033,507.1361432,316.1919044,229.5281265,790.1867612,555.2060455,-1.706206561,5.39E-05,0.046958778,Plagl1,10,13060504,13131694,+,7819,protein_coding,pleiomorphic adenoma gene-like 1 [Source:MGI Symbol;Acc:MGI:1100874],zf-C2H2,132,87,90,306,561,323,206,786,590,0.668368364,0.52241938,0.536916631,1.587002248,2.866612784,1.786175734,1.286834996,4.478518895,3.138156863,1.328283214
ENSMUSG00000037060,393.7592133,407.0225166,458.4629797,358.1461924,173.5653111,306.4026814,230.6423407,172.9161869,194.7926295,0.907008922,5.39E-05,0.046958778,Cavin3,7,105480083,105482300,-,1662,protein_coding,caveolae associated 3 [Source:MGI Symbol;Acc:MGI:1923422],-,436,379,433,392,192,313,207,172,207,10.38600763,10.70679359,12.15269048,9.564502304,4.615593939,8.143032981,6.083397317,4.61063248,5.1798022,1.328283214
ENSMUSG00000068151,29.80287624,35.43995527,23.29373107,69.4365067,300.1233504,100.8289974,80.22342286,104.5539735,119.5104539,-1.834993514,5.83E-05,0.046958778,A230006K03Rik,7,61127996,61311721,-,1449,lincRNA,RIKEN cDNA A230006K03 gene [Source:MGI Symbol;Acc:MGI:3644205],-,33,33,22,76,332,103,72,104,127,0.901651525,1.069293174,0.708222721,2.12692676,9.154340947,3.073560137,2.427006653,3.197628689,3.645097801,1.328283214
ENSMUSG00000034584,22.57793654,17.18300862,16.94089532,84.05471863,148.2537032,137.0491227,111.4214206,96.51136014,148.6822969,-1.861145011,5.96E-05,0.046958778,Exph5,9,53301670,53377514,+,10519,protein_coding,exophilin 5 [Source:MGI Symbol;Acc:MGI:2443248],-,25,16,16,92,164,140,100,96,158,0.094093304,0.071416205,0.070951419,0.354666934,0.622912116,0.575474993,0.464336048,0.406592961,0.624678389,1.328283214
ENSMUSG00000111068,32.51222862,33.29207919,39.17582044,38.37280633,9.943845946,12.72598996,3.342642619,17.09055336,13.17438074,1.661946992,6.31E-05,0.046958778,Gm35501,9,122686799,122693642,+,1135,lincRNA,"predicted gene, 35501 [Source:MGI Symbol;Acc:MGI:5594660]",-,36,31,37,42,11,13,3,17,14,1.255740226,1.282380992,1.520622536,1.500585541,0.387216815,0.495245304,0.129101786,0.667292337,0.512986604,1.328283214
ENSMUSG00000097090,19.86858416,17.18300862,13.76447745,52.07738002,74.1268516,70.48240594,70.195495,84.44744012,80.92833883,-1.554307722,6.39E-05,0.046958778,Gm26724,17,27201032,27203071,+,1650,lincRNA,"predicted gene, 26724 [Source:MGI Symbol;Acc:MGI:5477218]",-,22,16,13,57,82,72,63,84,86,0.527875984,0.455289127,0.367514914,1.400871307,1.985579559,1.886780712,1.864933976,2.268080265,2.167645991,1.328283214
ENSMUSG00000041459,2563.047356,2035.112583,1769.264755,3080.788166,3910.643415,4190.766387,4095.851422,3947.917826,3856.329448,-0.759824975,7.25E-05,0.047273491,Tardbp,4,148612382,148627019,-,7796,protein_coding,TAR DNA binding protein [Source:MGI Symbol;Acc:MGI:2387629],-,2838,1895,1671,3372,4326,4281,3676,3927,4098,14.41231441,11.41270585,9.998162234,17.53973648,22.17032552,23.74358392,23.03087977,22.44151378,21.86119879,1.325382327
