gene_id,SHEF6,SHEF7,SHEF8,SHEF9,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF6_readcount,SHEF7_readcount,SHEF8_readcount,SHEF9_readcount,SHEF1_readcount,SHEF2_readcount,SHEF3_readcount,SHEF4_readcount,SHEF5_readcount,SHEF6_fpkm,SHEF7_fpkm,SHEF8_fpkm,SHEF9_fpkm,SHEF1_fpkm,SHEF2_fpkm,SHEF3_fpkm,SHEF4_fpkm,SHEF5_fpkm,-log10(padj)
ENSMUSG00000108701,141.555476,166.1133286,105.7383217,102.6603767,62.76176855,52.45250988,32.05400251,60.17496641,45.54840148,1.344911038,3.19E-07,0.009992072,Gm44616,7,55927177,55928908,-,1732,TEC,predicted gene 44616 [Source:MGI Symbol;Acc:MGI:5753192],-,144,154,113,110,69,53,29,59,48,3.58350888,4.189997533,2.695709909,2.605047168,1.591690368,1.323124946,0.817818567,1.517634539,1.152569703,2.000344466
ENSMUSG00000041459,3116.186519,3260.783066,3014.010037,3173.138915,3934.890011,4236.77726,4063.121145,4005.204968,3888.694776,-0.358062927,1.41E-06,0.022028353,Tardbp,4,148612382,148627019,-,7796,protein_coding,TAR DNA binding protein [Source:MGI Symbol;Acc:MGI:2387629],-,3170,3023,3221,3400,4326,4281,3676,3927,4098,17.52593967,18.27289046,17.0710995,17.8886629,22.17032552,23.74358392,23.03087977,22.44151378,21.86119879,1.657017974
ENSMUSG00000110016,113.0477759,224.3608594,114.1599579,84.92812979,30.016498,37.60745992,34.26462337,48.95590488,67.37367719,1.617016088,5.11E-06,0.053396909,Gm20751,13,43716791,43719038,+,1270,lincRNA,"predicted gene, 20751 [Source:MGI Symbol;Acc:MGI:5434107]",-,115,208,122,91,33,38,31,48,71,3.902905177,7.717924897,3.969160942,2.939060087,1.038167918,1.293757115,1.19224313,1.683839117,2.325029553,1.272483882
ENSMUSG00000111068,45.21911038,92.76458608,25.26490873,44.79725527,10.00549933,12.86570997,3.315931294,17.33854964,13.28495043,2.186176026,8.62E-06,0.067547418,Gm35501,9,122686799,122693642,+,1135,lincRNA,"predicted gene, 35501 [Source:MGI Symbol;Acc:MGI:5594660]",-,46,86,27,48,11,13,3,17,14,1.746850951,3.570619101,0.982902641,1.734667211,0.387216815,0.495245304,0.129101786,0.667292337,0.512986604,1.17039125
ENSMUSG00000085666,99.285438,4.314631911,0,79.32847288,0.909590849,1.979339996,1.105310431,1.019914685,0,5.519399568,1.28E-05,0.079970247,Gm9855,10,42054113,42055306,-,1194,processed_pseudogene,predicted pseudogene 9855 [Source:MGI Symbol;Acc:MGI:3704357],-,101,4,0,85,1,2,1,1,0,3.645951839,0.157868906,0,2.920017085,0.03346209,0.072426674,0.040907461,0.037312878,0,1.097071564
ENSMUSG00000025439,962.3806317,968.6348639,1106.04156,1057.40188,1276.155961,1331.106147,1460.11508,1403.402607,1402.511196,-0.424786641,1.69E-05,0.088450651,Clns1a,7,97696634,97720796,+,3856,protein_coding,"chloride channel, nucleotide-sensitive, 1A [Source:MGI Symbol;Acc:MGI:109638]",-,979,898,1182,1133,1403,1345,1321,1376,1478,10.94307932,10.97438636,12.66552075,12.05212641,14.53710847,15.08197216,16.7329552,15.89807299,15.94084205,1.053298967
ENSMUSG00000032271,2.949072416,2.157315955,7.485898882,6.532933061,16.37263527,22.76240995,11.05310431,47.93599019,39.8548513,-2.514776485,3.36E-05,0.150580211,Nnmt,9,48591877,48605153,-,1576,protein_coding,nicotinamide N-methyltransferase [Source:MGI Symbol;Acc:MGI:1099443],-,3,2,8,7,18,23,10,47,42,0.082046285,0.059801863,0.209737638,0.182185001,0.456324385,0.631021997,0.309920742,1.328632044,1.108324483,0.822232098
ENSMUSG00000109846,18.67745863,11.86523775,26.20064609,14.93241842,0,4.948349989,1.105310431,4.07965874,4.744625154,2.593218925,7.71E-05,0.302051749,Gm45627,8,34658106,34659369,-,977,lincRNA,predicted gene 45627 [Source:MGI Symbol;Acc:MGI:5791463],-,19,11,28,16,0,5,1,4,5,0.838210155,0.53056556,1.184148221,0.67173227,0,0.221283135,0.049993356,0.182401542,0.212838059,0.519918645
ENSMUSG00000011154,27.52467588,33.43839731,35.55801969,25.19845609,10.91509018,8.90702998,17.6849669,13.2588909,9.489250309,1.34581011,0.000155843,0.52552224,Cfap161,7,83774101,83794880,-,3188,protein_coding,cilia and flagella associated protein 161 [Source:MGI Symbol;Acc:MGI:1922806],-,28,31,38,27,12,9,16,13,10,0.37855902,0.45823084,0.492501869,0.347389146,0.150390471,0.122066663,0.245136808,0.18167205,0.13045344,0.2794089
ENSMUSG00000073647,186.7745863,96.00056001,113.2242206,98.92727206,402.9487459,180.1199396,373.5949258,209.0825104,240.0780328,-1.183992771,0.0001677,0.52552224,Gm10557,18,4198216,4198969,-,750,pseudogene,predicted gene 10557 [Source:MGI Symbol;Acc:MGI:3708638],-,190,89,121,106,443,182,338,205,253,10.91908428,5.592032379,6.666021441,5.79716145,23.5993395,10.49259718,22.01214134,12.17743095,14.02920649,0.2794089
