gene_id,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,SHEF6,SHEF7,SHEF8,SHEF9,SHEF11,SHEF12,SHEF13,SHEF14,SHEF21,SHEF22,SHEF24,SHEF25,SHEF26,SHEF27,SHEF28,SHEF29,SHEF16,SHEF18,SHEF20,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family
ENSMUSG00000062554,0.314596339,22.47051832,10.76864763,8.653062129,0.109156317,7.91893804,7.792135713,19.41201663,7.96668302,0.337874439,7.728373831,0.114688144,12.70769324,13.50863738,0.369698356,0.489723084,8.514758599,17.68150565,0.116239383,13.84105629,12.70846625,0.245146961,0.612607767,0,Gm12751,4,34354043,34354423,+,381,processed_pseudogene,predicted gene 12751 [Source:MGI Symbol;Acc:MGI:3651049],-
ENSMUSG00000036777,5.783879551,4.980826275,8.261844768,5.146805775,4.175834347,6.986243143,7.632995559,5.954068082,5.97862937,6.230787906,7.295855618,3.967997201,5.885786525,5.041119542,2.58511463,4.132940237,7.561745441,5.874577401,4.54941938,6.968952283,4.478288606,3.138100198,3.085263865,3.879217925,Anln,9,22332012,22389188,-,9063,protein_coding,"anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]",-
ENSMUSG00000083061,2.066572502,1.615239714,2.666743302,22.78787541,2.270639595,1.362408429,2.302028052,1.899692631,1.885869047,1.849571284,1.187542016,1.757892421,1.830622779,1.478962886,2.158698445,2.144649368,22.60631707,24.97832277,2.672503749,2.09818665,1.500484056,39.58806418,2.816939509,24.80368312,Gm12191,11,49678710,49679057,-,348,processed_pseudogene,predicted gene 12191 [Source:MGI Symbol;Acc:MGI:3651293],-
ENSMUSG00000030792,0.076054064,3.895874937,0.774801854,0.395762737,0.738882989,0.410231426,0.119603727,0.576778505,0.494502147,0.571771021,0.098333904,0.609972098,0.512016828,0.70338805,1.489584111,0.473564708,0.668997452,0.441241438,0.562020368,0.643479408,0.210843283,8.445203917,1.184789641,3.026080386,Dkkl1,7,45207519,45212147,-,1576,protein_coding,dickkopf-like 1 [Source:MGI Symbol;Acc:MGI:1354963],-
ENSMUSG00000029084,3.399662287,1.500572706,1.795532589,2.061512544,2.063391121,2.149542366,2.338022261,2.0181182,1.929622178,1.775968807,2.257550954,1.527681463,2.227242028,1.546988745,1.375962158,1.510902723,2.10576109,1.452466995,2.413595747,2.565289385,2.013503026,0.960421512,1.008015372,1.165197496,Cd38,5,43868553,43912375,+,3890,protein_coding,CD38 antigen [Source:MGI Symbol;Acc:MGI:107474],-
ENSMUSG00000035299,0.945333909,1.126008454,0.508786551,0.928157847,1.1139792,0.917192817,0.925647414,1.21741463,1.287905435,1.25792866,0.730285325,0.68275286,1.150241313,0.771782968,0.999120809,0.944028695,0.549135408,0.575616527,0.896288672,0.941686151,0.996019368,0.535109851,0.382059398,0.47508033,Mid1,X,169685199,170005736,+,6720,protein_coding,midline 1 [Source:MGI Symbol;Acc:MGI:1100537],-
ENSMUSG00000107927,0.065355074,0.565828458,0.106528918,0.753052822,0.15873495,0.446527438,0.077083754,0.04505814,0.268381582,0.233969759,0.112667563,0.571814827,0.602089237,1.986011063,0,0.127170457,0.287442744,0.829432855,0.169035134,0.353892623,0.077649715,2.495446353,2.698012791,0.644723094,Gm44090,6,86039934,86041767,+,1834,TEC,"predicted gene, 44090 [Source:MGI Symbol;Acc:MGI:5690482]",-
ENSMUSG00000021848,4.99776643,0.163899454,0.636435202,0.284978102,1.635560395,0.439083365,0.681013023,0.538381263,2.70147055,1.209736177,0.342673816,0.041408371,0.130802139,0.347040004,0.144603645,1.292962918,0.365069518,0.247120294,0.062952672,1.172452715,3.0701899,0.132766158,0.154828232,0.19608991,Otx2,14,48657677,48673819,-,4221,protein_coding,orthodenticle homeobox 2 [Source:MGI Symbol;Acc:MGI:97451],TF_Otx
ENSMUSG00000093460,0.292492002,0.003638398,0.024660136,0.011246611,0.122483969,0.043522365,0.055514486,0.125164871,0.120802576,0.079436316,0.108671486,0.003676892,0.014295001,0.006662857,0.015803329,0.137379193,0.051184203,0.010971629,0.007453249,0.133122916,0.159777379,0.003929695,0,0.006633132,Six3os1,17,85600651,85618398,-,11884,processed_transcript,"SIX homeobox 3, opposite strand 1 [Source:MGI Symbol;Acc:MGI:1925118]",-
ENSMUSG00000027188,0.403105828,4.355339615,2.148920504,2.615912952,2.68268891,1.917688296,1.465313803,2.043363563,2.238806663,2.675668257,1.520863022,2.580141803,2.676354758,2.403206493,2.764605038,1.373306323,3.252976488,2.753234182,2.292738201,2.13358444,1.915753498,6.12528835,3.157858279,3.768000911,Pamr1,2,102550012,102643041,+,6046,protein_coding,peptidase domain containing associated with muscle regeneration 1 [Source:MGI Symbol;Acc:MGI:2445082],-
