gene_id,SHEF21,SHEF22,SHEF24,SHEF25,SHEF26,SHEF27,SHEF28,SHEF29,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF21_readcount,SHEF22_readcount,SHEF24_readcount,SHEF25_readcount,SHEF26_readcount,SHEF27_readcount,SHEF28_readcount,SHEF29_readcount,SHEF21_fpkm,SHEF22_fpkm,SHEF24_fpkm,SHEF25_fpkm,SHEF26_fpkm,SHEF27_fpkm,SHEF28_fpkm,SHEF29_fpkm,-log10(padj)
ENSMUSG00000020932,23115.32275,16334.32633,27034.81984,24493.03834,10366.90533,9577.050187,10466.43701,8584.624051,1.222208718,3.60E-12,5.49E-08,Gfap,11,102887336,102900912,-,4218,protein_coding,glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697],-,25668,15258,25619,26787,10509,9517,11388,7944,240.9231998,169.8408971,283.316037,257.5282228,108.28476,99.92444995,109.5195729,89.40269362,7.260515727
ENSMUSG00000037060,392.6398909,405.7353308,456.929505,358.4302471,217.025328,196.2304073,182.8961156,207.4833607,1.005602112,2.47E-11,1.89E-07,Cavin3,7,105480083,105482300,-,1662,protein_coding,caveolae associated 3 [Source:MGI Symbol;Acc:MGI:1923422],-,436,379,433,392,220,195,199,192,10.38600763,10.70679359,12.15269048,9.564502304,5.753129938,5.19615221,4.857053814,5.483882654,6.724145238
ENSMUSG00000028393,843.8155453,642.325062,709.1377076,753.4350093,361.0512276,417.6185592,397.9598897,370.6603788,0.930859938,5.11E-11,2.60E-07,Alad,4,62509169,62519918,-,1871,protein_coding,"aminolevulinate, delta-, dehydratase [Source:MGI Symbol;Acc:MGI:96853]",-,937,600,672,824,366,415,433,343,19.82708967,15.05666205,16.753712,17.85914868,8.501974919,9.823190845,9.387824609,8.702384668,6.585402363
ENSMUSG00000028341,1505.719948,1369.222924,1325.412144,1552.588162,2194.91525,2529.86279,2660.724897,2696.203047,-0.809026084,1.20E-10,4.56E-07,Nr4a3,4,48045153,48086447,+,5987,protein_coding,"nuclear receptor subfamily 4, group A, member 3 [Source:MGI Symbol;Acc:MGI:1352457]",NGFIB-like,1672,1279,1256,1698,2225,2514,2895,2495,11.05656395,10.03026775,9.785791118,11.50100405,16.15225933,18.59663159,19.61508382,19.78241169,6.340998829
ENSMUSG00000074527,20.71265479,28.90462779,10.55264446,18.28725751,68.06703471,71.44799446,94.66482364,91.85461283,-2.056290296,2.72E-10,8.31E-07,Gm14296,2,176892509,176927809,-,9870,protein_coding,predicted gene 14296 [Source:MGI Symbol;Acc:MGI:3708667],-,23,27,10,20,69,71,103,85,0.092257961,0.128439277,0.04726051,0.082171303,0.303839659,0.318580705,0.423322089,0.408808311,6.080291522
ENSMUSG00000046318,407.0486942,346.8555335,421.0505139,435.2367287,648.1165478,848.3191455,806.0296149,957.4492584,-1.016781649,7.37E-10,1.88E-06,Ccbe1,18,66045302,66302739,-,9511,protein_coding,collagen and calcium binding EGF domains 1 [Source:MGI Symbol;Acc:MGI:2445053],-,452,324,399,476,657,843,877,886,1.881505189,1.599447791,1.956871346,2.029495532,3.002283569,3.925361561,3.740453585,4.422068686,5.726819164
ENSMUSG00000036896,1039.234941,1195.795157,1651.488858,1531.557816,650.0895054,650.0761186,707.6884874,565.1760295,1.073865299,3.54E-09,7.73E-06,C1qc,4,136889804,136893065,-,1931,protein_coding,"complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]",-,1154,1117,1565,1675,659,646,770,523,23.66010689,27.15952306,37.80485948,35.17546653,14.83254458,14.81591632,16.17555943,12.85693235,5.111950583
ENSMUSG00000052504,185.5133429,153.0874731,184.671278,229.5050817,349.2134824,357.2399723,386.9309782,413.886079,-0.999364844,4.96E-09,9.46E-06,Epha3,16,63543534,63864175,-,8692,protein_coding,Eph receptor A3 [Source:MGI Symbol;Acc:MGI:99612],-,206,143,175,251,354,355,421,383,0.938297739,0.772444988,0.939147682,1.171011964,1.770092924,1.808784833,1.964776868,2.091688459,5.023973868
ENSMUSG00000028004,813.1968382,626.2669355,748.1824921,756.1780979,1115.707482,1521.540389,1456.735393,1662.028171,-0.966825843,5.64E-09,9.56E-06,Npy2r,3,82538383,82548084,-,3383,protein_coding,neuropeptide Y receptor Y2 [Source:MGI Symbol;Acc:MGI:108418],-,903,585,709,827,1131,1512,1585,1538,10.56766214,8.119047986,9.775968588,9.913130885,14.53025141,19.79374932,19.00544869,21.58103562,5.019495391
ENSMUSG00000036905,1211.24003,1380.998883,2211.834278,1918.333313,691.5216135,762.7828141,824.411134,691.6112025,1.178094507,1.52E-08,2.32E-05,C1qb,4,136880129,136886187,-,1088,protein_coding,"complement component 1, q subcomponent, beta polypeptide [Source:MGI Symbol;Acc:MGI:88224]",-,1345,1290,2096,2098,701,758,897,640,48.94254584,55.66882501,89.86238545,78.19588821,28.00281197,30.85450495,33.4437067,27.9234466,4.633704052
