gene_id,SHEF21,SHEF22,SHEF24,SHEF25,SHEF11,SHEF12,SHEF13,SHEF14,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF21_readcount,SHEF22_readcount,SHEF24_readcount,SHEF25_readcount,SHEF11_readcount,SHEF12_readcount,SHEF13_readcount,SHEF14_readcount,SHEF21_fpkm,SHEF22_fpkm,SHEF24_fpkm,SHEF25_fpkm,SHEF11_fpkm,SHEF12_fpkm,SHEF13_fpkm,SHEF14_fpkm,-log10(padj)
ENSMUSG00000020932,22765.58714,16046.69566,26712.2967,24065.98714,10456.30653,9865.672118,8618.109191,8547.137855,1.256966375,4.73E-12,6.85E-08,Gfap,11,102887336,102900912,-,4218,protein_coding,glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697],-,25668,15258,25619,26787,10950,8510,8831,8937,240.9231998,169.8408971,283.316037,257.5282228,111.3952321,104.2224375,91.48435096,89.98539543,7.16455235
ENSMUSG00000064366,78.93631197,82.03186929,69.85924036,87.14677837,165.2000941,182.0106372,203.9615922,228.5740122,-1.293393666,1.36E-10,9.83E-07,mt-Tl2,MT,11671,11741,+,71,Mt_tRNA,mitochondrially encoded tRNA leucine 2 [Source:MGI Symbol;Acc:MGI:102481],-,89,78,67,97,173,157,209,239,49.62777736,51.58073115,44.01817311,55.40139675,104.5554832,114.2298338,128.6267923,142.963904,6.007238729
ENSMUSG00000017344,1679.835673,1940.369216,1990.467013,1570.438851,1099.105828,1016.709101,954.4231445,967.8531396,0.830222215,2.34E-09,1.13E-05,Vtn,11,78499091,78502324,+,2030,protein_coding,vitronectin [Source:MGI Symbol;Acc:MGI:98940],-,1894,1845,1909,1748,1151,877,978,1012,36.938317,42.67284247,43.86573903,34.91827001,24.32978912,22.31730746,21.05165862,21.17246002,4.946287249
ENSMUSG00000036896,1023.511281,1174.738436,1631.786734,1504.854163,626.423478,658.4843435,538.6928178,680.9401536,1.090906943,6.67E-09,2.41E-05,C1qc,4,136889804,136893065,-,1931,protein_coding,"complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]",-,1154,1117,1565,1675,656,568,552,712,23.66010689,27.15952306,37.80485948,35.17546653,14.57741858,15.19512591,12.49108909,15.65974071,4.61719969
ENSMUSG00000028004,800.8931428,615.2390197,739.2567375,742.9936671,1186.957901,1466.518828,1282.323121,1227.98758,-0.832294485,1.34E-08,3.90E-05,Npy2r,3,82538383,82548084,-,3383,protein_coding,neuropeptide Y receptor Y2 [Source:MGI Symbol;Acc:MGI:108418],-,903,585,709,827,1243,1265,1314,1284,10.56766214,8.119047986,9.775968588,9.913130885,15.76624205,19.31642575,16.97215031,16.11943714,4.409426273
ENSMUSG00000018774,197.7842424,239.7854641,361.8083045,327.025024,121.2740575,110.1338251,94.66160022,120.5034541,1.333879943,1.93E-08,4.65E-05,Cd68,11,69664213,69666153,-,1257,protein_coding,CD68 antigen [Source:MGI Symbol;Acc:MGI:88342],-,223,228,347,364,127,95,97,126,7.023648234,8.516297205,12.87685357,11.74284787,4.335383319,3.904150662,3.371940934,4.257180992,4.332358811
ENSMUSG00000022817,1741.920412,1779.460549,2097.862561,1749.22451,1183.138246,1066.559148,1096.903491,1161.041217,0.708561466,2.42E-08,4.77E-05,Itgb5,16,33829665,33949338,+,3553,protein_coding,integrin beta 5 [Source:MGI Symbol;Acc:MGI:96614],-,1964,1692,2012,1947,1239,920,1124,1214,21.88464183,22.35920672,26.41486095,22.22174054,14.96356787,13.37614171,13.82339142,14.51143384,4.321821897
ENSMUSG00000090093,55.87626578,65.20481918,43.79235963,109.6072883,185.2532847,200.5594919,189.3232004,238.1377784,-1.563426346,3.19E-08,4.77E-05,Gm14399,2,175129493,175142012,-,2561,protein_coding,predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082],zf-C2H2,63,62,42,122,194,173,194,249,0.973921915,1.13666726,0.764989144,1.931779623,3.250507784,3.489592911,3.310058379,4.129301706,4.321821897
ENSMUSG00000002985,46874.86544,61750.01545,73400.16544,50538.84251,31665.8978,29521.66163,30268.29064,30890.96483,0.926635703,3.21E-08,4.77E-05,Apoe,7,19696109,19699188,-,2138,protein_coding,apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057],-,52851,58715,70396,56253,33161,25465,31016,32300,978.6754078,1289.414662,1535.874896,1066.953067,665.5473778,615.2820154,633.9012222,641.6255779,4.321821897
ENSMUSG00000074527,20.39927163,28.39564706,10.42675229,17.96840791,62.0693995,89.26636346,61.48124551,72.68462314,-1.885160656,3.29E-08,4.77E-05,Gm14296,2,176892509,176927809,-,9870,protein_coding,predicted gene 14296 [Source:MGI Symbol;Acc:MGI:3708667],-,23,27,10,20,65,77,63,76,0.092257961,0.128439277,0.04726051,0.082171303,0.282589007,0.40300628,0.278911807,0.327026756,4.321821897
ENSMUSG00000054675,704.2183338,713.0462484,947.7917834,751.0794507,405.8383813,435.8980865,435.2481825,465.755414,0.838011087,7.03E-08,9.25E-05,Tmem119,5,113793729,113800516,-,2315,protein_coding,transmembrane protein 119 [Source:MGI Symbol;Acc:MGI:2385228],-,794,678,909,836,425,376,446,487,13.5788401,13.75086247,18.31590777,14.64409746,7.877655664,8.390253658,8.418357509,8.934388079,4.033653161
ENSMUSG00000078878,126.8302541,218.7516514,98.01147155,203.9414298,405.8383813,389.5259497,402.0678277,426.5439726,-1.326604384,1.64E-07,0.000198399,Gm14305,2,176708328,176721813,+,2500,protein_coding,predicted gene 14305 [Source:MGI Symbol;Acc:MGI:3709632],zf-C2H2,143,208,94,227,425,336,412,446,2.264587971,3.906380705,1.753894253,3.682079635,7.294709144,6.942845644,7.201130964,7.576728006,3.702461562
