gene_id,SHEF21,SHEF22,SHEF24,SHEF25,SHEF6,SHEF7,SHEF8,SHEF9,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF21_readcount,SHEF22_readcount,SHEF24_readcount,SHEF25_readcount,SHEF6_readcount,SHEF7_readcount,SHEF8_readcount,SHEF9_readcount,SHEF21_fpkm,SHEF22_fpkm,SHEF24_fpkm,SHEF25_fpkm,SHEF6_fpkm,SHEF7_fpkm,SHEF8_fpkm,SHEF9_fpkm,-log10(padj)
ENSMUSG00000028393,853.2083634,652.4909353,720.1086381,760.7086539,345.7103838,365.7524036,431.8523822,373.4504917,0.977739521,1.48E-10,1.80E-06,Alad,4,62509169,62519918,-,1871,protein_coding,"aminolevulinate, delta-, dehydratase [Source:MGI Symbol;Acc:MGI:96853]",-,937,600,672,824,347,337,453,396,19.82708967,15.05666205,16.753712,17.85914868,7.993731705,8.487837327,10.00384638,8.681448476,5.74521671
ENSMUSG00000041959,492.6208374,561.1422043,481.1440157,410.8196007,232.1340617,243.1113899,242.1423953,270.6573008,0.976581967,7.46E-10,4.52E-06,S100a10,3,93555080,93564643,+,1212,protein_coding,S100 calcium binding protein A10 (calpactin) [Source:MGI Symbol;Acc:MGI:1339468],-,541,516,449,445,233,224,254,287,17.67208585,19.98933386,17.28061845,14.88897222,8.286042982,8.709361809,8.659118761,9.712925789,5.345107796
ENSMUSG00000064246,354.2135041,401.2819252,430.7792746,315.731019,191.2864371,206.2105539,228.7959641,187.6683027,0.882648278,2.40E-07,0.000968296,Chil1,1,134182176,134190181,+,2804,protein_coding,chitinase-like 1 [Source:MGI Symbol;Acc:MGI:1340899],-,389,369,402,342,192,190,240,199,5.492432892,6.178735393,6.687497056,4.946014956,2.951325431,3.193129454,3.536517665,2.911024501,3.013991905
ENSMUSG00000038422,258.6031753,166.3851885,147.8794525,189.2539734,72.72869745,73.80167193,101.0515508,78.27371418,1.226636296,5.49E-07,0.001571925,Hdhd3,4,62499008,62503467,-,1366,protein_coding,haloacid dehalogenase-like hydrolase domain containing 3 [Source:MGI Symbol;Acc:MGI:1919998],-,284,153,138,205,73,68,106,83,8.231155532,5.258864384,4.712419529,6.085699308,2.303382386,2.345844106,3.206252826,2.492287772,2.803568169
ENSMUSG00000002985,48124.77611,63851.67544,75435.6662,51932.21348,30912.68527,32773.36893,35978.16535,32522.25671,0.856500358,6.75E-07,0.001571925,Apoe,7,19696109,19699188,-,2138,protein_coding,apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057],-,52851,58715,70396,56253,31028,30197,37740,34486,978.6754078,1289.414662,1535.874896,1066.953067,625.5182174,665.5750481,729.3513552,661.6158741,2.803568169
ENSMUSG00000066553,542.7024382,8.699879137,17.14544376,443.1312547,1.992567053,5.426593525,2.859949551,2.829170392,6.275001609,7.78E-07,0.001571925,Gm6969,12,24638669,24639010,-,342,processed_pseudogene,predicted pseudogene 6969 [Source:MGI Symbol;Acc:MGI:3645320],-,596,8,16,480,2,5,3,3,68.99431719,1.098285174,2.182274795,56.91443906,0.252056424,0.688945444,0.362441357,0.359803963,2.803568169
ENSMUSG00000037060,397.0105085,412.1567741,463.9985719,361.8905247,245.0857476,217.063741,274.5551569,210.3016658,0.786681502,2.06E-06,0.003559181,Cavin3,7,105480083,105482300,-,1662,protein_coding,caveolae associated 3 [Source:MGI Symbol;Acc:MGI:1923422],-,436,379,433,392,246,200,288,223,10.38600763,10.70679359,12.15269048,9.564502304,6.379666381,5.670742282,7.15985237,5.503571807,2.448649984
ENSMUSG00000091655,5.463447365,4.349939569,10.71590235,1.846380228,206.23069,191.0160921,5.719899102,182.0099619,-4.714346804,2.70E-06,1,Gm8741,17,35335909,35336292,+,384,processed_pseudogene,predicted gene 8741 [Source:MGI Symbol;Acc:MGI:3644779],-,6,4,10,2,207,176,6,193,0.618604669,0.489080116,1.214742806,0.211205926,23.23448238,21.59843967,0.645598667,20.61564268,0
ENSMUSG00000110710,416.1325743,328.4204374,335.4077437,579.7633916,796.0305379,984.3840654,869.4246635,724.2676204,-1.022190473,2.85E-06,0.00431235,C78859,8,94322158,94328100,+,5943,lincRNA,expressed sequence C78859 [Source:MGI Symbol;Acc:MGI:2142856],-,457,302,313,628,799,907,912,768,3.044413486,2.385901184,2.456711548,4.285102769,5.794753009,7.19188097,6.340619725,5.300615271,2.365285999
ENSMUSG00000036905,1224.722784,1402.855511,2246.053133,1936.852859,914.5882775,905.1557999,847.4983836,778.9649146,0.982738177,3.37E-06,0.004331797,C1qb,4,136880129,136886187,-,1088,protein_coding,"complement component 1, q subcomponent, beta polypeptide [Source:MGI Symbol;Acc:MGI:88224]",-,1345,1290,2096,2098,918,834,889,826,48.94254584,55.66882501,89.86238545,78.19588821,36.3670159,36.12252409,33.76101267,31.1402393,2.363331868
ENSMUSG00000036896,1050.803043,1214.720625,1677.038718,1546.343441,767.1383156,779.2588301,814.1323055,665.7980989,0.858895803,3.58E-06,0.004331797,C1qc,4,136889804,136893065,-,1931,protein_coding,"complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]",-,1154,1117,1565,1675,770,718,854,706,23.66010689,27.15952306,37.80485948,35.17546653,17.18708924,17.52197695,18.27335099,14.99661427,2.363331868
ENSMUSG00000109095,74.66711398,143.5480058,187.5282912,17.54061216,5.97770116,15.19446187,25.73954596,13.20279516,2.812548124,3.92E-06,1,Gm44799,8,9658248,9659449,-,1202,TEC,predicted gene 44799 [Source:MGI Symbol;Acc:MGI:5753375],-,82,132,175,19,6,14,27,14,2.700862979,5.156092541,6.791240978,0.640997686,0.21514966,0.548863691,0.928115222,0.477743032,0
ENSMUSG00000028004,822.2488284,636.1786619,759.7574768,763.4782242,1637.890118,1557.432342,1044.834903,1195.796019,-0.86587092,4.46E-06,0.004852877,Npy2r,3,82538383,82548084,-,3383,protein_coding,neuropeptide Y receptor Y2 [Source:MGI Symbol;Acc:MGI:108418],-,903,585,709,827,1644,1435,1096,1268,10.56766214,8.119047986,9.775968588,9.913130885,20.94564295,19.98898939,13.38601033,15.37404151,2.314000686
