gene_id,SHEF16,SHEF18,SHEF20,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF16_readcount,SHEF18_readcount,SHEF20_readcount,SHEF1_readcount,SHEF2_readcount,SHEF3_readcount,SHEF4_readcount,SHEF5_readcount,SHEF16_fpkm,SHEF18_fpkm,SHEF20_fpkm,SHEF1_fpkm,SHEF2_fpkm,SHEF3_fpkm,SHEF4_fpkm,SHEF5_fpkm,-log10(padj)
ENSMUSG00000060038,5344.19517,947.7645632,8045.569707,434.1046733,660.496326,581.3608666,532.7643304,626.3551357,3.075392758,4.53e-10,8.24e-06,Dhps,8,85071757,85075162,+,2324,protein_coding,deoxyhypusine synthase [Source:MGI Symbol;Acc:MGI:2683592],-,5056,889,9126,486,681,527,532,669,101.5997022,17.85677834,154.7731581,8.355213093,12.67021148,11.0759592,10.19855369,11.97192104,5.084072788302884
ENSMUSG00000021700,5704.632383,5577.844989,8227.181296,16498.65724,12434.01307,11651.48667,14854.31074,15701.0099,-1.129434144,3.27e-07,0.001926186,Rab3c,13,110054187,110280996,-,12049,protein_coding,"RAB3C, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914545]",-,5397,5232,9332,18471,12820,10562,14833,16770,20.91813239,20.27002112,30.52636054,61.24868785,46.00551498,42.81559805,54.84550886,57.88364989,2.7153017780249047
ENSMUSG00000027855,0.0,0.0,0.0,41.98131614,3.87956726,56.26072902,12.01724054,26.21516263,-7.2554903,3.69e-07,0.001926186,Sycp1,3,102818499,102936100,-,3556,protein_coding,synaptonemal complex protein 1 [Source:MGI Symbol;Acc:MGI:105931],-,0,0,0,47,4,51,12,28,0.0,0.0,0.0,0.528072426,0.048637486,0.700511517,0.150342778,0.327468951,2.7153017780249047
ENSMUSG00000107756,4.228002508,0.0,2.644828964,27.68980427,18.42794448,38.61030423,26.03735449,28.08767425,-3.584443347,4.23e-07,0.001926186,Gm44164,6,145238667,145241227,-,2561,TEC,"predicted gene, 44164 [Source:MGI Symbol;Acc:MGI:5690556]",-,4,0,3,31,19,35,26,30,0.072941032,0.0,0.04617033,0.483625844,0.320787102,0.667521598,0.45230027,0.487175597,2.7153017780249047
ENSMUSG00000073647,52.85003134,33.049158,107.5563779,395.6962351,176.5203103,372.8652237,205.2945258,236.8727195,-2.099661194,7.09e-07,0.002581146,Gm10557,18,4198216,4198969,-,750,pseudogene,predicted gene 10557 [Source:MGI Symbol;Acc:MGI:3708638],-,50,31,122,443,182,338,205,253,3.113366403,1.929469424,6.411355681,23.5993395,10.49259718,22.01214134,12.17743095,14.02920649,2.5881874293185696
ENSMUSG00000096910,93.01605517,72.49492722,151.6368606,281.3641401,226.9546847,292.3351606,246.353431,245.2990218,-1.284590107,4.18e-06,0.012667029,Zfp955b,17,33289649,33303196,+,1638,protein_coding,zinc finger protein 955B [Source:MGI Symbol;Acc:MGI:4834573],zf-C2H2,88,68,172,315,234,265,246,262,2.508939958,1.93790501,4.138718163,7.683410584,6.176960664,7.90203288,6.690896125,6.6521379,1.897325235172589
ENSMUSG00000074939,1.057000627,1.066101871,14.98736413,79.49653483,28.12686263,34.19769803,78.11206348,59.92037173,-3.250660771,7.62e-06,0.016506873,Chrm5,2,112479171,112480769,-,1599,protein_coding,"cholinergic receptor, muscarinic 5 [Source:MGI Symbol;Acc:MGI:109248]",-,1,1,17,89,29,31,78,64,0.029206064,0.029193691,0.419036411,2.223816397,0.784192004,0.946934819,2.173247641,1.664582636,1.7823351900605062
ENSMUSG00000032375,257.908153,297.442422,454.9105817,804.7907627,566.4168199,933.2662108,705.0114447,798.6262044,-1.175840714,8.6e-06,0.016506873,Aph1b,9,66775202,66795490,-,5163,protein_coding,"aph1 homolog B, gamma secretase subunit [Source:MGI Symbol;Acc:MGI:3522097]",-,244,279,516,901,584,846,704,853,2.20703487,2.522548637,3.939116997,6.972363988,4.890841603,8.003410522,6.074822768,6.871012773,1.7823351900605062
ENSMUSG00000031772,302.3021793,259.0627546,430.2255114,705.643399,595.5135744,616.6617162,645.9266788,683.46674,-0.972749058,8.69e-06,0.016506873,Cntnap4,8,112570043,112882717,+,6281,protein_coding,contactin associated protein-like 4 [Source:MGI Symbol;Acc:MGI:2183572],-,286,243,488,790,614,559,645,730,2.126467421,1.805988375,3.062261908,5.025226983,4.226807345,4.347002304,4.575030557,4.833568932,1.7823351900605062
ENSMUSG00000071793,194.4881153,134.3288357,300.6288922,818.1890551,395.7158605,651.9625657,544.7815709,492.4705551,-1.466721188,9.07e-06,0.016506873,2610005L07Rik,8,20385782,20424814,-,4163,transcribed_unprocessed_pseudogene,RIKEN cDNA 2610005L07 gene [Source:MGI Symbol;Acc:MGI:1914283],-,184,126,341,916,408,591,544,526,2.064110322,1.412868051,3.228488707,8.791165336,4.237665063,6.934065279,5.821777009,5.254763602,1.7823351900605062
