gene_id,SHEF21,SHEF22,SHEF24,SHEF25,SHEF16,SHEF18,SHEF20,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF21_readcount,SHEF22_readcount,SHEF24_readcount,SHEF25_readcount,SHEF16_readcount,SHEF18_readcount,SHEF20_readcount,SHEF21_fpkm,SHEF22_fpkm,SHEF24_fpkm,SHEF25_fpkm,SHEF16_fpkm,SHEF18_fpkm,SHEF20_fpkm,-log10(padj)
ENSMUSG00000030792,25.2208226,53.92602239,16.9313007,23.71698152,304.1107683,42.70255001,107.2999548,-2.33965621,0.0001155,0.999837792,Dkkl1,7,45207519,45212147,-,1576,protein_coding,dickkopf-like 1 [Source:MGI Symbol;Acc:MGI:1354963],-,28,50,16,26,285,40,121,0.70338805,1.489584111,0.473564708,0.668997452,8.445203917,1.184789641,3.026080386,7.04518E-05
ENSMUSG00000026479,63.95280017,101.3809221,48.6774895,76.62409416,306.244879,98.21586502,250.9577456,-1.589303179,0.000138136,0.999837792,Lamc2,1,153122756,153186447,-,8039,protein_coding,"laminin, gamma 2 [Source:MGI Symbol;Acc:MGI:99913]",-,71,94,46,84,287,92,283,0.349662845,0.549005967,0.266914006,0.423725485,1.66725244,0.534223845,1.387508685,7.04518E-05
ENSMUSG00000023043,20.71710428,28.04153164,103.7042168,30.1023227,8.53644262,8.540510001,8.867764862,2.395815046,0.000256773,0.999837792,Krt18,15,102028180,102032027,+,1437,protein_coding,keratin 18 [Source:MGI Symbol;Acc:MGI:96692],-,23,26,98,33,8,8,10,0.633671588,0.849508678,3.181155273,0.931246171,0.259988844,0.259878702,0.274280249,7.04518E-05
ENSMUSG00000027356,33.32751558,60.39714508,24.33874475,18.24383194,149.3877458,55.51331501,146.3181202,-1.785847109,0.000301435,0.999837792,Fermt1,2,132904389,132945906,-,5699,protein_coding,fermitin family member 1 [Source:MGI Symbol;Acc:MGI:2443583],-,37,56,23,20,140,52,165,0.25703735,0.461360713,0.188254228,0.142311065,1.147230996,0.425933851,1.141133857,7.04518E-05
ENSMUSG00000087022,80.16618612,113.244647,102.6460105,123.1458656,387.3410839,127.0400863,281.1081461,-1.339783728,0.000378071,0.999837792,9130024F11Rik,1,56971412,57050084,+,5779,processed_transcript,RIKEN cDNA 9130024F11 gene [Source:MGI Symbol;Acc:MGI:1926150],-,89,105,97,135,363,119,317,0.609720054,0.853076237,0.78295103,0.947301887,2.93342794,0.961239784,2.162010861,7.04518E-05
ENSMUSG00000085007,117.99742,110.0090857,71.95802796,146.8628471,609.288592,120.6347038,333.4279588,-1.664822935,0.000382433,0.999837792,Gm11549,3,36515057,36521813,-,2829,protein_coding,predicted gene 11549 [Source:MGI Symbol;Acc:MGI:3650339],-,131,102,68,161,571,113,376,1.83329146,1.692849947,1.12122178,2.307811096,9.42593964,1.86458835,5.238490986,7.04518E-05
ENSMUSG00000042589,608.0019734,740.9435476,402.1183915,801.8164138,2356.058163,783.5917926,1666.253018,-1.327609749,0.000411717,0.999837792,Cux2,5,121856366,122050102,-,10082,protein_coding,cut-like homeobox 2 [Source:MGI Symbol;Acc:MGI:107321],CUT,675,687,380,879,2208,734,1879,2.650636945,3.199346542,1.758135987,3.535489164,10.22760318,3.398496579,7.345669602,7.04518E-05
ENSMUSG00000030898,192.7591442,328.9487366,169.313007,194.2968102,1230.314793,276.4990113,504.5758207,-1.599231098,0.000427042,0.999837792,Cckbr,7,105425731,105470898,+,2862,protein_coding,cholecystokinin B receptor [Source:MGI Symbol;Acc:MGI:99479],-,214,305,160,213,1153,259,569,2.960310811,5.003586935,2.607749755,3.017986568,18.81400138,4.224425008,7.835991216,7.04518E-05
ENSMUSG00000063239,310.7565642,367.7754727,271.9590174,369.4375968,633.8308645,447.3092113,686.3650003,-0.836673109,0.000523948,0.999837792,Grm4,17,27422387,27521403,-,5977,protein_coding,"glutamate receptor, metabotropic 4 [Source:MGI Symbol;Acc:MGI:1351341]",-,345,341,257,405,594,419,774,2.28522521,2.678689424,2.005697474,2.747761891,4.641140146,3.272413966,5.103980522,7.04518E-05
ENSMUSG00000090667,0.900743664,0,0,2.736574791,194.2040696,1.06756375,53.20658917,-6.475136698,0.000593169,0.999837792,Gm765,6,98235708,98342754,-,3584,protein_coding,predicted gene 765 [Source:MGI Symbol;Acc:MGI:2685611],-,1,0,0,3,182,1,60,0.011046512,0,0,0.03394381,2.371509565,0.013024752,0.659833791,7.04518E-05
ENSMUSG00000023393,101.7840341,17.25632716,27.51336363,51.08272944,9.603497947,12.810765,10.64131783,2.170257445,0.000609697,0.999837792,Slc17a9,2,180725263,180742280,+,3200,protein_coding,"solute carrier family 17, member 9 [Source:MGI Symbol;Acc:MGI:1919107]",-,113,16,26,56,9,12,12,1.398046551,0.234758456,0.378999755,0.709651912,0.131345145,0.17505267,0.147802769,7.04518E-05
ENSMUSG00000079330,30.62528459,43.14081791,25.39695104,44.69738826,139.7842479,51.24306001,101.0925194,-1.436661359,0.000635011,0.999837792,Lemd1,1,132191431,132259227,+,9289,protein_coding,LEM domain containing 1 [Source:MGI Symbol;Acc:MGI:1922403],-,34,40,24,49,131,48,114,0.14491159,0.202181898,0.120519644,0.213911654,0.658603185,0.241218018,0.483712368,7.04518E-05
ENSMUSG00000097182,5.404461986,7.549643135,1.058206293,1.824383194,69.35859629,10.6756375,14.18842378,-2.989677071,0.00064826,0.999837792,A830009L08Rik,13,91368990,91388085,-,2807,lincRNA,RIKEN cDNA A830009L08 gene [Source:MGI Symbol;Acc:MGI:2443762],-,6,7,1,2,65,10,16,0.084625648,0.117086512,0.016617785,0.028893151,1.08141512,0.166301075,0.224661613,7.04518E-05
ENSMUSG00000037279,16.21338596,47.4548997,20.10591958,44.69738826,208.0757889,56.58087876,81.58343673,-1.845759292,0.000662158,0.999837792,Ovol2,2,144305175,144332146,-,2113,protein_coding,ovo like zinc finger 2 [Source:MGI Symbol;Acc:MGI:1338039],zf-C2H2,18,44,19,49,195,53,92,0.33726104,0.977697308,0.419439825,0.940381142,4.30979495,1.170883923,1.716088314,7.04518E-05
ENSMUSG00000028871,28.82379726,25.88449075,25.39695104,27.36574791,266.7638319,27.7566575,60.30080106,-2.13644587,0.000662263,0.999837792,Rspo1,4,124986430,125009099,+,1938,protein_coding,R-spondin 1 [Source:MGI Symbol;Acc:MGI:2183426],-,32,24,24,30,250,26,68,0.653716389,0.581445092,0.577660975,0.627732784,6.024315795,0.62626342,1.382949888,7.04518E-05
