gene_id,SHEF11,SHEF12,SHEF13,SHEF14,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF11_readcount,SHEF12_readcount,SHEF13_readcount,SHEF14_readcount,SHEF1_readcount,SHEF2_readcount,SHEF3_readcount,SHEF4_readcount,SHEF5_readcount,SHEF11_fpkm,SHEF12_fpkm,SHEF13_fpkm,SHEF14_fpkm,SHEF1_fpkm,SHEF2_fpkm,SHEF3_fpkm,SHEF4_fpkm,SHEF5_fpkm,-log10(padj)
ENSMUSG00000111068,48.02379474,52.8628126,70.87992051,80.54250895,9.792371114,12.61851871,3.259081862,17.0529296,13.06092757,2.492882392,5.45E-11,1.71E-06,Gm35501,9,122686799,122693642,+,1135,lincRNA,"predicted gene, 35501 [Source:MGI Symbol;Acc:MGI:5594660]",-,50,46,72,84,11,13,3,17,14,1.89031074,2.093631343,2.771916457,3.143187375,0.387216815,0.495245304,0.129101786,0.667292337,0.512986604,5.766551643
ENSMUSG00000108701,115.2571074,108.0240084,142.7442844,102.595815,61.42487335,51.44473012,31.504458,59.18369683,44.7803231,1.234111702,1.89E-07,0.002960155,Gm44616,7,55927177,55928908,-,1732,TEC,predicted gene 44616 [Source:MGI Symbol;Acc:MGI:5753192],-,120,94,145,107,69,53,29,59,48,2.972982942,2.803613917,3.658167748,2.623751724,1.591690368,1.323124946,0.817818567,1.517634539,1.152569703,2.528685612
ENSMUSG00000034587,193.0556549,162.0360125,162.4331512,177.3852876,94.36284892,98.03618381,116.2405864,116.3611667,109.1520376,0.7049245,3.96E-06,0.041487356,8430429K09Rik,11,3452365,3479831,+,2649,processed_transcript,RIKEN cDNA 8430429K09 gene [Source:MGI Symbol;Acc:MGI:1918773],-,201,141,165,185,106,101,107,116,117,3.255915746,2.749637205,2.721732805,2.96603736,1.598752704,1.648588596,1.972916365,1.950918418,1.836867175,1.382084241
ENSMUSG00000041261,86.44283054,29.87898104,75.80213721,79.58366955,227.0049667,194.1310571,295.4900888,115.3580531,142.7372799,-1.516659314,2.11E-05,0.165603996,Car8,4,8143362,8239041,-,3853,protein_coding,carbonic anhydrase 8 [Source:MGI Symbol;Acc:MGI:88253],-,90,26,77,83,255,200,272,115,153,1.002311145,0.348588118,0.873243211,0.914883785,2.644225911,2.244418617,3.448075375,1.329725231,1.651453203,0.780929187
ENSMUSG00000002930,0.960475895,1.149191578,3.937773362,1.917678784,40.94991557,4.853276426,49.97258855,5.015567528,26.12185514,-3.662483884,3.88E-05,0.243828736,Ppp1r17,6,56017497,56032689,+,1757,protein_coding,"protein phosphatase 1, regulatory subunit 17 [Source:MGI Symbol;Acc:MGI:1333876]",-,1,1,4,2,46,5,46,5,28,0.024422341,0.029401296,0.099479073,0.048344278,1.04602835,0.123047025,1.278771434,0.126783087,0.662765845,0.612915112
ENSMUSG00000091705,0,0,0,0.958839392,58.75422668,18.44245042,8.690884965,1.003113506,2.798770194,-5.874638006,6.42E-05,0.323925352,H2-Q2,17,35342242,35346762,+,2181,protein_coding,"histocompatibility 2, Q region locus 2 [Source:MGI Symbol;Acc:MGI:95931]",-,0,0,0,1,66,19,8,1,3,0,0,0,0.019472925,1.20905388,0.376678482,0.179160051,0.020427133,0.057205718,0.489555061
ENSMUSG00000110016,75.8775957,111.4715831,157.5109345,79.58366955,29.37711334,36.88490084,33.67717924,48.14944827,66.23756126,1.306185627,7.22E-05,0.323925352,Gm20751,13,43716791,43719038,+,1270,lincRNA,"predicted gene, 20751 [Source:MGI Symbol;Acc:MGI:5434107]",-,79,97,160,83,33,38,31,48,71,2.66920807,3.945538219,5.505030933,2.775627734,1.038167918,1.293757115,1.19224313,1.683839117,2.325029553,0.489555061
ENSMUSG00000031548,171.9251852,118.3667326,114.1954275,133.2786755,312.4656601,307.6977254,209.6675998,169.5261825,383.4315166,-1.040631342,9.69E-05,0.352702121,Sfrp1,8,23411502,23449632,+,4372,protein_coding,secreted frizzled-related protein 1 [Source:MGI Symbol;Acc:MGI:892014],-,179,103,116,139,351,317,193,169,411,1.75683889,1.217013267,1.159368077,1.350272721,3.207630603,3.135104235,2.156175027,1.72214466,3.909628738,0.452591928
ENSMUSG00000040380,13.44666253,6.89514947,14.76665011,15.34143028,57.86401113,20.38376099,156.4359294,12.03736207,162.3286712,-2.692711053,0.000101116,0.352702121,Cbln3,14,55878913,55884392,-,4866,protein_coding,cerebellin 3 precursor protein [Source:MGI Symbol;Acc:MGI:1889286],-,14,6,15,16,65,21,144,12,174,0.123456793,0.063696767,0.134698468,0.139648002,0.533701763,0.186603621,1.445430596,0.109868253,1.487137049,0.452591928
ENSMUSG00000041459,3326.128024,3351.042642,3380.578431,3066.368376,3851.072494,4155.375276,3993.461642,3939.226737,3823.120085,-0.26863544,0.000243895,0.765659954,Tardbp,4,148612382,148627019,-,7796,protein_coding,TAR DNA binding protein [Source:MGI Symbol;Acc:MGI:2387629],-,3463,2916,3434,3198,4326,4281,3676,3927,4098,19.06073836,19.32208243,19.24739514,17.42181814,22.17032552,23.74358392,23.03087977,22.44151378,21.86119879,0.115964067
