gene_id,tumour_type,SHEF6,SHEF7,SHEF8,SHEF9,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,-log10(padj)
ENSMUSG00000026435,"prostate,N.A.",33.42282071,39.91034517,25.26490873,35.46449376,10.00549933,13.85537997,16.57965647,19.37837901,15.18280049,1.163644161,0.000485586,0.760840685,Slc45a3,1,131962967,131982969,+,3563,protein_coding,"solute carrier family 45, member 3 [Source:MGI Symbol;Acc:MGI:1922082]",-,0.118706272
ENSMUSG00000027523,"pituitary adenoma,N.A.",1882.491225,1861.763669,1762.929187,2000.010793,3924.884512,2786.910714,2402.944878,2584.463812,2371.363652,-0.584537303,0.000949113,0.788796383,Gnas,2,174284320,174346744,+,11186,protein_coding,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]",-,0.103035089
ENSMUSG00000037992,"APL,N.A.",468.9025141,578.160676,447.2824582,335.0461384,172.8222612,268.2005694,362.5418215,271.2973062,339.715161,0.693274031,0.005230179,0.995977741,Rara,11,98927818,98974942,+,4365,protein_coding,"retinoic acid receptor, alpha [Source:MGI Symbol;Acc:MGI:97856]",THR-like,0.001750367
ENSMUSG00000031565,"MPN, NHL,N.A.",3643.087458,3899.348589,3450.063647,3287.931882,1948.343598,2276.240995,2919.124849,2988.350027,3130.503677,0.428663067,0.01257311,0.995977741,Fgfr1,8,25513654,25575718,+,9875,protein_coding,fibroblast growth factor receptor 1 [Source:MGI Symbol;Acc:MGI:95522],-,0.001750367
ENSMUSG00000041147,"breast, ovarian, pancreatic,""breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)""",208.4011174,166.1133286,157.2038765,162.3900504,373.8418388,202.8823495,212.2196028,232.5405482,251.4651332,-0.554431697,0.013024594,0.995977741,Brca2,5,150522630,150570329,+,13643,protein_coding,"breast cancer 2, early onset [Source:MGI Symbol;Acc:MGI:109337]",-,0.001750367
ENSMUSG00000041417,"glioblastoma, ovarian, colorectal,N.A.",2582.404412,2544.554169,2233.605079,3029.414388,4430.617024,3395.557762,3451.884477,2858.820862,3120.065501,-0.410108366,0.013134213,0.995977741,Pik3r1,13,101680563,101768217,-,10079,protein_coding,phosphoinositide-3-kinase regulatory subunit 1 [Source:MGI Symbol;Acc:MGI:97583],-,0.001750367
ENSMUSG00000029675,"B-ALL,N.A.",179.8934174,151.0121169,233.9343401,137.1915943,401.1295642,285.0249594,133.7425622,302.9146614,347.3065613,-0.74500033,0.015345827,0.995977741,Eln,5,134702593,134747323,-,8098,protein_coding,elastin [Source:MGI Symbol;Acc:MGI:95317],-,0.001750367
ENSMUSG00000024014,"NHL,N.A.",35.38886899,37.75302922,55.20850425,24.26517994,306.532116,82.14260981,45.31772768,37.73684334,46.49732651,-1.443264336,0.0165384,0.995977741,Pim1,17,29490812,29496111,+,2638,protein_coding,proviral integration site 1 [Source:MGI Symbol;Acc:MGI:97584],-,0.001750367
ENSMUSG00000042784,"B-NHL,N.A.",4.915120693,7.550605844,11.22884832,2.799828455,72.76726789,6.927689984,11.05310431,9.179232165,15.18280049,-1.803087158,0.020377493,0.995977741,Muc1,3,89229057,89233381,+,2346,protein_coding,"mucin 1, transmembrane [Source:MGI Symbol;Acc:MGI:97231]",-,0.001750367
ENSMUSG00000028417,"T-ALL,N.A.",2.949072416,5.393289888,1.87147472,0.933276152,41.84117904,2.969009993,4.421241725,6.11948811,6.642475216,-2.177699693,0.021208905,0.995977741,Tal2,4,53779705,53788712,+,2971,protein_coding,T cell acute lymphocytic leukemia 2 [Source:MGI Symbol;Acc:MGI:99540],bHLH,0.001750367
