gene_id,SHEF26,SHEF27,SHEF28,SHEF29,SHEF6,SHEF7,SHEF8,SHEF9,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF26_readcount,SHEF27_readcount,SHEF28_readcount,SHEF29_readcount,SHEF6_readcount,SHEF7_readcount,SHEF8_readcount,SHEF9_readcount,SHEF26_fpkm,SHEF27_fpkm,SHEF28_fpkm,SHEF29_fpkm,SHEF6_fpkm,SHEF7_fpkm,SHEF8_fpkm,SHEF9_fpkm,-log10(padj)
ENSMUSG00000076617,300.4397825,291.2518189,319.1953195,276.8637178,521.1552753,446.2574016,590.4479032,674.9802693,-0.911100436,1.20E-10,1.77E-06,Ighm,12,113418558,113422730,-,1886,IG_C_gene,immunoglobulin heavy constant mu [Source:MGI Symbol;Acc:MGI:96448],-,300,290,346,257,530,412,633,719,6.913406409,6.809803524,7.441924654,6.468586331,12.11234024,10.2942915,13.86770584,15.63716417,5.752224802
ENSMUSG00000027523,2548.730821,2597.162771,2831.244033,3086.437944,1883.042174,1869.515231,1757.352053,2011.797938,0.556557772,2.83E-10,2.09E-06,Gnas,2,174284320,174346744,+,11186,protein_coding,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]",-,2545,2586,3069,2865,1915,1726,1884,2143,9.888387872,10.23839729,11.12943024,12.15815722,7.378835762,7.271213731,6.959029584,7.858110829,5.679745336
ENSMUSG00000052551,1016.487931,1276.48642,1331.210538,1331.531343,855.481301,734.3750443,645.481752,681.5517045,0.764962771,1.68E-09,8.27E-06,Adarb2,13,8202866,8768747,+,13114,protein_coding,"adenosine deaminase, RNA-specific, B2 [Source:MGI Symbol;Acc:MGI:2151118]",-,1015,1271,1443,1236,870,678,692,726,3.363902383,4.292285919,4.463566506,4.474054141,2.859420022,2.436326273,2.180286243,2.270765227,5.082689356
ENSMUSG00000038007,148.2169594,156.6733922,157.7526001,127.1203062,345.1424559,279.4524505,238.7909372,234.6941131,-0.894595187,5.88E-08,0.00021749,Acer2,4,86874396,86934822,+,7159,protein_coding,alkaline ceramidase 2 [Source:MGI Symbol;Acc:MGI:1920932],-,148,156,171,118,351,258,256,250,0.898507848,0.96505154,0.968934916,0.782433774,2.113239086,1.698276021,1.477509229,1.432380632,3.662561021
ENSMUSG00000002325,200.2931883,203.8762732,237.090165,184.216715,313.676477,324.9447099,309.6819966,364.2452636,-0.667110343,8.92E-08,0.000263923,Irf9,14,55603571,55610030,+,5386,protein_coding,interferon regulatory factor 9 [Source:MGI Symbol;Acc:MGI:107587],IRF,200,203,257,171,319,300,332,388,1.613898315,1.669198406,1.935608999,1.507119556,2.552808367,2.624797718,2.546914312,2.954854973,3.578522798
ENSMUSG00000029561,46.06743332,61.26331362,52.58420003,47.40079215,183.8793141,102.8991581,113.798806,100.4490804,-1.272530829,3.55E-07,0.000873912,Oasl2,5,114896936,114912234,+,6374,protein_coding,2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390],-,46,61,57,44,187,95,122,107,0.31365939,0.423834249,0.362755207,0.327686509,1.264513377,0.702348211,0.790843175,0.688561145,3.058532438
ENSMUSG00000101523,163.2389485,20.08633234,121.7739369,168.057354,25.56610785,25.99557679,19.58831906,20.65308195,2.36689192,1.51E-06,0.003186056,Gm10031,1,156524012,156526664,+,2653,protein_coding,predicted pseudogene 10031 [Source:MGI Symbol;Acc:MGI:3704198],-,163,20,132,156,26,24,21,22,2.670317341,0.333865096,2.018308455,2.791292137,0.422405903,0.426299601,0.3270579,0.340138839,2.496746624
ENSMUSG00000102545,92.13486663,119.5136774,122.6964667,132.5067599,41.29909729,56.32374971,25.18498165,64.77557522,1.31768784,1.73E-06,0.003206034,6430573P05Rik,3,79287173,79289848,+,2610,lincRNA,RIKEN cDNA 6430573P05 gene [Source:MGI Symbol;Acc:MGI:2686494],-,92,119,133,123,42,52,27,69,1.532003797,2.019225055,2.067102403,2.23708532,0.693589746,0.938866343,0.427430842,1.084374702,2.494031849
ENSMUSG00000034422,62.09088838,56.24173054,46.12649125,36.62788485,173.0628839,120.2295427,76.48772206,109.8368449,-1.251941622,8.51E-06,0.013987097,Parp14,16,35832874,35871544,-,9306,protein_coding,"poly (ADP-ribose) polymerase family, member 14 [Source:MGI Symbol;Acc:MGI:1919489]",-,62,56,50,34,176,111,82,117,0.28956173,0.266503705,0.217950472,0.173433829,0.8151612,0.562083536,0.364077134,0.515695815,1.854272407
ENSMUSG00000033355,31.04544419,27.11654865,34.13360353,33.39601265,70.79845249,58.49004778,60.63051139,61.95924586,-1.002832096,1.60E-05,0.023594976,Rtp4,16,23520291,23614222,+,2131,protein_coding,receptor transporter protein 4 [Source:MGI Symbol;Acc:MGI:1915025],-,31,27,37,31,72,54,65,66,0.632252806,0.561123667,0.70431856,0.690551683,1.456273435,1.194128997,1.26029585,1.270373072,1.627180451
ENSMUSG00000062284,24.0351826,22.09496557,20.29565615,15.08207023,39.33247361,54.15745165,46.63885491,49.75515198,-1.215162189,2.16E-05,0.029000576,Gm6030,16,45205100,45205489,+,390,processed_pseudogene,predicted gene 6030 [Source:MGI Symbol;Acc:MGI:3645112],-,24,22,22,14,40,50,50,53,2.674601946,2.498252589,2.288278774,1.704046229,4.420681895,6.041521585,5.297219836,5.574193701,1.537593379
ENSMUSG00000046879,163.2389485,180.776991,155.9075404,140.047795,239.928089,200.3825711,241.5892685,254.4084186,-0.549904569,8.18E-05,0.097344536,Irgm1,11,48861968,48871683,-,5810,protein_coding,immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567],-,163,180,169,130,244,185,259,271,1.219337677,1.372064871,1.179944093,1.062148313,1.810120865,1.500501833,1.841900777,1.913215771,1.01168842
ENSMUSG00000060802,1214.778187,1523.548308,1284.161516,1139.773593,1894.841916,1877.097274,1645.418801,1604.368957,-0.443408313,8.56E-05,0.097344536,B2m,2,122147686,122153083,+,860,protein_coding,beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127],-,1213,1517,1392,1058,1927,1733,1764,1709,61.3020321,78.12056973,65.65860364,58.39896635,96.5777635,94.96007427,84.75058973,81.51065915,1.01168842
ENSMUSG00000074896,118.1729811,171.7381415,154.0624808,120.6565618,298.9267994,183.0521866,244.3875998,222.4900192,-0.748623926,0.000108753,0.11489752,Ifit3,19,34583531,34588731,+,1745,protein_coding,interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055],-,118,171,167,112,304,169,262,237,2.938996694,4.339892294,3.882146302,3.046776065,7.508825866,4.563858884,6.203666737,5.570878778,0.939689345
ENSMUSG00000093894,0,0,0,0,13.76636576,2.166298066,1.865554197,17.8367526,-5.601026369,0.000113196,1,Ighv1-53,12,115158403,115158835,-,351,IG_V_gene,immunoglobulin heavy variable 1-53 [Source:MGI Symbol;Acc:MGI:3576502],-,0,0,0,0,14,2,2,19,0,0,0,0,1.71915407,0.26851207,0.235431993,2.220328728,0
ENSMUSG00000109387,13.01905724,9.038849551,28.59842458,12.92748877,2.949935521,0,0,3.75510581,3.227378065,0.000114214,1,Gm45182,7,91158600,91161003,+,2404,TEC,predicted gene 45182 [Source:MGI Symbol;Acc:MGI:5753758],-,13,9,31,12,3,0,0,4,0.235028977,0.165800684,0.523092013,0.236954372,0.053787415,0,0,0.068249005,0
ENSMUSG00000025498,22.03225072,43.18561452,35.97866318,23.70039608,95.3812485,63.90579294,88.61382434,46.00004617,-1.231903294,0.000143168,0.141173145,Irf7,7,141262706,141266481,-,3776,protein_coding,interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212],IRF,22,43,39,22,97,59,95,49,0.253223039,0.50432993,0.418970533,0.276572273,1.107219254,0.736310443,1.039523278,0.532273553,0.850247909
ENSMUSG00000105198,8.011727533,17.07338249,16.60553685,11.85019804,0.98331184,4.332596132,1.865554197,1.877552905,2.591336069,0.000211448,1,Gm42502,5,143525660,143526748,+,1089,TEC,predicted gene 42502 [Source:MGI Symbol;Acc:MGI:5662639],-,8,17,18,11,1,4,2,2,0.319282142,0.691352144,0.670494907,0.479493528,0.039579108,0.173090426,0.075883039,0.075330857,0
ENSMUSG00000043872,312.4573738,297.2777186,312.7376107,233.7720886,350.0590151,434.3427622,402.0269294,502.2454021,-0.545391893,0.000249568,0.23071033,Zmym1,4,127047094,127061152,-,4164,protein_coding,"zinc finger, MYM domain containing 1 [Source:MGI Symbol;Acc:MGI:1915560]",-,312,296,339,217,356,401,431,535,3.256539833,3.148177876,3.302477259,2.473813509,3.684963222,4.538105479,4.276703565,5.270039312,0.63693296
ENSMUSG00000050919,85.12460504,111.4791445,133.7668246,113.1155267,264.510885,197.133124,133.3871251,190.5716199,-0.823265999,0.000283436,0.242200302,Zfp366,13,99184823,99250656,+,6382,protein_coding,zinc finger protein 366 [Source:MGI Symbol;Acc:MGI:2178429],zf-C2H2,85,111,145,105,269,182,143,203,0.578861476,0.770272603,0.921641582,0.780998937,1.816725703,1.343864626,0.925809935,1.304698105,0.61582532
ENSMUSG00000028331,15.02198912,36.1553982,20.29565615,21.54581461,33.43260257,55.24060068,69.95828237,65.71435167,-1.272203323,0.000303092,0.242200302,Trmo,4,46376505,46389437,-,2271,protein_coding,tRNA methyltransferase O [Source:MGI Symbol;Acc:MGI:1922003],-,15,36,22,20,34,51,75,70,0.287069231,0.70204288,0.392967293,0.418052481,0.645291082,1.058263887,1.364541437,1.264304546,0.61582532
