gene_id,SHEF26,SHEF27,SHEF28,SHEF29,SHEF1,SHEF2,SHEF3,SHEF4,SHEF5,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF26_readcount,SHEF27_readcount,SHEF28_readcount,SHEF29_readcount,SHEF1_readcount,SHEF2_readcount,SHEF3_readcount,SHEF4_readcount,SHEF5_readcount,SHEF26_fpkm,SHEF27_fpkm,SHEF28_fpkm,SHEF29_fpkm,SHEF1_fpkm,SHEF2_fpkm,SHEF3_fpkm,SHEF4_fpkm,SHEF5_fpkm,-log10(padj)
ENSMUSG00000021342,2989.026863,17122.81516,698.1698571,736.3483445,2.714654878,5.902653999,23.14474241,0,0,9.734060759,2.87E-10,6.06E-06,Prl,13,27057570,27065205,+,1408,protein_coding,prolactin [Source:MGI Symbol;Acc:MGI:97762],-,3006,17141,763,687,3,6,21,0,0,92.78950182,539.1526852,21.98228031,23.161785,0.085128697,0.184255929,0.728489834,0,0,5.217315983
ENSMUSG00000056035,8.949182225,6.992573717,6.405228046,7.50282156,28.9563187,49.18878333,39.67670128,42.78054028,24.5932735,-2.310901871,8.32E-09,8.80E-05,Cyp3a11,5,145854426,145879964,-,5093,protein_coding,"cytochrome P450, family 3, subfamily a, polypeptide 11 [Source:MGI Symbol;Acc:MGI:88609]",-,9,7,7,7,32,50,36,42,26,0.076803561,0.060869907,0.055753896,0.06524426,0.25103466,0.424491701,0.345251585,0.367399611,0.212311501,4.055423463
ENSMUSG00000108701,109.3788939,137.8535961,122.6143655,111.4704917,62.43706221,52.14011033,31.96178714,60.09647325,45.40296646,1.250909285,3.13E-08,0.000220718,Gm44616,7,55927177,55928908,-,1732,TEC,predicted gene 44616 [Source:MGI Symbol;Acc:MGI:5753192],-,110,138,134,104,69,53,29,59,48,2.76030657,3.52865721,3.138396198,2.850384157,1.591690368,1.323124946,0.817818567,1.517634539,1.152569703,3.656161306
ENSMUSG00000111068,49.71767903,57.93846794,43.00653117,37.5141078,9.953734554,12.78908366,3.306391773,17.31593297,13.24253188,2.04766736,6.70E-08,0.000354716,Gm35501,9,122686799,122693642,+,1135,lincRNA,"predicted gene, 35501 [Source:MGI Symbol;Acc:MGI:5594660]",-,50,58,47,35,11,13,3,17,14,1.914637957,2.263134704,1.679781735,1.463828258,0.387216815,0.495245304,0.129101786,0.667292337,0.512986604,3.45011912
ENSMUSG00000092341,25533.01124,40036.48029,45840.38706,28273.84713,18147.46786,15063.57301,17275.89702,20140.46721,18828.04265,0.964859081,9.02E-07,0.003819649,Malat1,19,5795690,5802672,-,6983,lincRNA,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA) [Source:MGI Symbol;Acc:MGI:1919539],-,25678,40079,50097,26379,20055,15312,15675,19773,19905,159.8202016,254.1868665,291.0184583,179.3222707,114.74612,94.81187911,109.6408423,126.1518437,118.547934,2.417976532
ENSMUSG00000025991,5.966121483,18.97984295,10.98039094,13.93381147,37.10028334,33.44837266,44.08522364,34.63186594,44.45707132,-1.63929028,3.02E-06,0.009332479,Cps1,1,67123026,67231259,+,5555,protein_coding,carbamoyl-phosphate synthetase 1 [Source:MGI Symbol;Acc:MGI:891996],-,6,19,12,13,41,34,40,34,47,0.046943959,0.151477389,0.087629037,0.11109058,0.294888053,0.26464746,0.351708435,0.272682917,0.351874378,2.030002979
ENSMUSG00000066154,20.88142519,19.97878205,11.89542351,17.14930642,95.01292075,61.97786699,72.74061901,43.79912457,31.21453944,-1.805594824,3.09E-06,0.009332479,Mup3,4,62083476,62087342,-,1068,protein_coding,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],-,21,20,13,16,105,63,66,43,33,0.854595425,0.829348408,0.493768019,0.71115894,3.928035748,2.550598926,3.018419089,1.793743254,1.285039676,2.030002979
ENSMUSG00000058207,6.960475064,21.97666025,13.72548867,5.359158257,49.76867277,49.18878333,34.16604832,35.65045023,52.0242324,-1.87402923,3.76E-06,0.009946951,Serpina3k,12,104338486,104346144,+,2057,protein_coding,"serine (or cysteine) peptidase inhibitor, clade A, member 3K [Source:MGI Symbol;Acc:MGI:98377]",-,7,22,15,5,55,50,31,35,55,0.147902757,0.473659946,0.295806577,0.115386143,1.068281685,1.051014211,0.736095662,0.758048217,1.111993497,2.00231002
ENSMUSG00000041459,3002.947813,3327.46615,3153.202264,2807.127095,3914.532335,4211.543628,4051.432053,3999.980516,3876.278261,-0.384201967,4.77E-06,0.010336857,Tardbp,4,148612382,148627019,-,7796,protein_coding,TAR DNA binding protein [Source:MGI Symbol;Acc:MGI:2387629],-,3020,3331,3446,2619,4326,4281,3676,3927,4098,16.83633793,18.92261157,17.93057848,15.94709611,22.17032552,23.74358392,23.03087977,22.44151378,21.86119879,1.985611509
ENSMUSG00000078672,1.988707161,0.998939102,0.915032578,1.071831651,4.524424797,29.51327,23.14474241,16.29734868,17.97200756,-3.877481615,4.88E-06,0.010336857,Mup20,4,62050234,62054158,-,928,protein_coding,major urinary protein 20 [Source:MGI Symbol;Acc:MGI:3651981],-,2,1,1,1,5,30,21,16,19,0.09366871,0.047723281,0.043712222,0.051152866,0.215267969,1.397803599,1.105294921,0.768130632,0.851489848,1.985611509
