gene_id,SHEF26,SHEF27,SHEF28,SHEF29,SHEF16,SHEF18,SHEF20,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,SHEF26_readcount,SHEF27_readcount,SHEF28_readcount,SHEF29_readcount,SHEF16_readcount,SHEF18_readcount,SHEF20_readcount,SHEF26_fpkm,SHEF27_fpkm,SHEF28_fpkm,SHEF29_fpkm,SHEF16_fpkm,SHEF18_fpkm,SHEF20_fpkm,-log10(padj)
ENSMUSG00000072849,0,6.962221784,1.82180779,0,82.50490679,46.33613221,68.84448378,-4.896931968,2.03E-12,3.43E-08,Serpina1e,12,103946931,103958975,-,1617,protein_coding,"serine (or cysteine) peptidase inhibitor, clade A, member 1E [Source:MGI Symbol;Acc:MGI:891967]",-,0,7,2,0,78,44,78,0,0.191719502,0.050173088,0,2.252714095,1.270223452,1.901235375,7.464946531
ENSMUSG00000052551,994.7281106,1264.140555,1314.43432,1323.128069,415.6977996,400.1756873,663.7314333,1.309973439,1.49E-09,1.26E-05,Adarb2,13,8202866,8768747,+,13114,protein_coding,"adenosine deaminase, RNA-specific, B2 [Source:MGI Symbol;Acc:MGI:2151118]",-,1015,1271,1443,1236,393,380,752,3.363902383,4.292285919,4.463566506,4.474054141,1.399519212,1.352651404,2.260132835,4.900412118
ENSMUSG00000041380,733.060716,836.4612172,909.082087,1597.174012,245.3992099,261.1672906,398.9449573,1.753712274,2.31E-09,1.30E-05,Htr2c,X,146962513,147197277,+,9328,protein_coding,5-hydroxytryptamine (serotonin) receptor 2C [Source:MGI Symbol;Acc:MGI:96281],-,748,841,998,1492,232,248,452,3.48518296,3.99287515,4.340031306,7.592734773,1.161504619,1.241082391,1.90985854,4.886127965
ENSMUSG00000074527,67.62191097,70.61682095,93.82310116,90.99181701,23.27061474,25.27425393,24.71340443,1.725295684,1.01E-08,4.24E-05,Gm14296,2,176892509,176927809,-,9870,protein_coding,predicted gene 14296 [Source:MGI Symbol;Acc:MGI:3708667],-,69,71,103,85,22,24,28,0.303839659,0.318580705,0.423322089,0.408808311,0.104094317,0.11350933,0.11181297,4.372625398
ENSMUSG00000030209,14368.18604,17823.28777,26546.47221,22559.54767,5034.914825,5848.883598,9920.666637,1.55119998,1.61E-08,4.42E-05,Grin2b,6,135713233,136173511,-,24842,protein_coding,"glutamate receptor, ionotropic, NMDA2B (epsilon 2) [Source:MGI Symbol;Acc:MGI:95821]",-,14661,17920,29143,21074,4760,5554,11240,25.65012925,31.94697341,47.588121,40.26969702,8.948327879,10.43654592,17.83327297,4.354647653
ENSMUSG00000059898,48.02135706,36.80031514,32.79254021,35.32623484,118.4685841,89.51298268,126.2148869,-1.544923144,1.82E-08,4.42E-05,Dsc3,18,19960930,20002351,-,5403,protein_coding,desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993],-,49,37,36,33,112,85,143,0.394160985,0.303280878,0.270282789,0.289932511,0.968065067,0.734380994,1.043163477,4.354647653
ENSMUSG00000078672,1.96005539,0.994603112,0.910903895,1.070491965,31.73265646,37.9113809,20.3002965,-4.600153828,1.84E-08,4.42E-05,Mup20,4,62050234,62054158,-,928,protein_coding,major urinary protein 20 [Source:MGI Symbol;Acc:MGI:3651981],-,2,1,1,1,30,36,23,0.09366871,0.047723281,0.043712222,0.051152866,1.509714312,1.810889685,0.976857383,4.354647653
ENSMUSG00000091243,46.06130167,124.325389,191.2898179,203.3934733,23.27061474,21.06187828,27.36126919,2.560592012,2.74E-08,5.78E-05,Vgll3,16,65815257,65866368,+,7104,protein_coding,vestigial like family member 3 [Source:MGI Symbol;Acc:MGI:1920819],-,47,125,210,190,22,20,31,0.287546064,0.77926529,1.199132573,1.269604906,0.144624284,0.131420923,0.171992712,4.237986775
ENSMUSG00000102865,7.840221561,9.94603112,5.465423369,4.281967859,43.36796383,44.22994438,36.18748506,-2.579272693,3.20E-08,5.92E-05,Gm9839,1,32519563,32520999,-,1437,TEC,predicted gene 9839 [Source:MGI Symbol;Acc:MGI:3641910],-,8,10,6,4,41,42,41,0.241961206,0.308192102,0.169373453,0.132136003,1.332442824,1.364363186,1.124549022,4.227777207
ENSMUSG00000022861,4287.621166,4957.10191,4825.968835,5304.287686,1510.474447,1835.542692,2885.289968,1.221147122,3.55E-08,5.92E-05,Dgkg,16,22468461,22657221,-,9255,protein_coding,"diacylglycerol kinase, gamma [Source:MGI Symbol;Acc:MGI:105060]",-,4375,4984,5298,4955,1428,1743,3269,20.54537894,23.84953319,23.22129251,25.41471123,7.205651902,8.791407973,13.92162083,4.227777207
